"AAPG Bulletin","AAPG Bull."
"Acta Technica","Acta Tech."
"Acta Tropica","Acta Trop."
"Active and Passive Electronic Components","Act. Passive Electron. Compon."
"Actualite Chimique","Actual. Chim."
"Ad Hoc Networks","Ad Hoc Networks"
"Additives for Polymers","Addit. Polym."
"Adhesives Age","Adhes. Age"
"Adsorption Science and Technology","Adsorpt. Sci. Technol."
"Advanced Cement Based Materials","Adv. Cem. Based Mater."
"Advanced Composite Materials","Adv. Compos. Mater"
"Advanced Drug Delivery Reviews","Adv. Drug Delivery Rev."
"Advanced Engineering Informatics","Adv. Eng. Inf."
"Advanced Engineering Materials","Adv. Eng. Mater."
"Advanced Functional Materials","Adv. Funct. Mater."
"Advanced Materials","Adv. Mater."
"Advanced Materials and Processes","Adv. Mater. Processes"
"Advanced Materials for Optics and Electronics","Adv. Mater. Opt. Electron."
"Advanced Powder Technology","Adv. Powder Technol."
"Advanced Science Letters","Adv. Sci. Lett."
"Advanced Studies in Theoretical Physics","Adv. Stud. Theor. Phys."
"Advanced Synthesis and Catalysis","Adv. Synth. Catal."
"Advances in Animal Biosciences","Adv. Anim. Biosci."
"Advances in Applied Mathematics","Adv. Appl. Math."
"Advances in Applied Microbiology","Adv. Appl. Microbiol."
"Advances in Atmospheric Sciences","Adv. Atmos. Sci."
"Advances in Atomic Molecular and Optical Physics","Adv. At. Mol. Opt. Phy."
"Advances in Biochemical Engineering / Biotechnology","Adv. Biochem. Eng./Biotechnol."
"Advances in Biophysics","Adv. Biophys."
"Advances in Carbohydrate Chemistry and Biochemistry","Adv. Carbohydr. Chem. Biochem."
"Advances in Chemical Physics","Adv. Chem. Phys."
"Advances in Chemistry Series","Adv. Chem. Ser."
"Advances in Chromatography","Adv. Chromatogr."
"Advances in Colloid and Interface Science","Adv. Colloid Interface Sci."
"Advances in Complex Systems","Adv. Complex Syst."
"Advances in Computational Mathematics","Adv. Comput. Math."
"Advances in Condensed Matter Physics","Adv. Condens. Matter Phys."
"Advances in Cryogenic Engineering","Adv. Cryog. Eng."
"Advances in Damage Mechanics","Adv. Damage Mech."
"Advances in Developmental Biology","Adv. Dev. Biol."
"Advances in Engineering Software","Adv. Eng. Software"
"Advances in Environmental Research","Adv. Environ. Res."
"Advances in Enzyme Regulation","Adv. Enzyme Regul."
"Advances in Enzymology and Related Areas of Molecular Biology","Adv. Enzymol. Relat. Areas Mol. Biol."
"Advances in Filtration and Separation Technology","Adv. Filtr. Sep. Technol."
"Advances in Forensic Haemogenetics","Adv. Forensic Haemogenet."
"Advances in Heterocyclic Chemistry","Adv. Heterocycl. Chem."
"Advances in High Energy Physics","Adv. High Energy Phys."
"Advances in Inorganic Chemistry","Adv. Inorg. Chem."
"Advances in Lipid Research","Adv. Lipid Res."
"Advances in Magnetic and Optical Resonance","Adv. Magn. Opt. Reson."
"Advances in Mass Spectrometry","Adv. Mass Spectrom."
"Advances in Materials Research","Adv. Mater. Res."
"Advances in Materials Science and Engineering","Adv. Mater. Sci. Eng."
"Advances in Medical and Dental Sciences","Adv. Med. Dent. Sci."
"Advances in Molecular Relaxation and Interaction Processes","Adv. Mol. Relax. Interact. Processes"
"Advances in Natural and Applied Science","Adv. Nat. Appl. Sci."
"Advances in Organic Synthesis","Adv. Org. Synth."
"Advances in Organometallic Chemistry","Adv. Organomet. Chem."
"Advances in Physical Organic Chemistry","Adv. Phys. Org. Chem."
"Advances in Physics","Adv. Phys."
"Advances in Polymer Science","Adv. Polym. Sci."
"Advances in Polymer Technology","Adv. Polym. Tech."
"Advances in Powder Metallurgy and Particulate Materials","Adv. Powder. Metall. Part. Mater."
"Advances in Protein Chemistry","Adv. Protein Chem."
"Advances in Quantum Chemistry","Adv. Quantum Chem."
"Advances in Second Messenger and Phosphoprotein Research","Adv. Second Messenger Phosphoprotein Res."
"Advances in Space Research","Adv. Space Res."
"Advances in Spectroscopy","Adv. Spectrosc."
"Advances in Synchrotron Radiation","Adv. Synchrotron Radiat."
"Advances in Theoretical and Mathematical Physics","Adv. Theor. Math. Phys."
"Advances in Water Resources","Adv. Water Res."
"Advances in X-Ray Analysis","Adv. X-Ray Anal."
"Adverse Drug Reactions and Toxicological Reviews","Adverse Drug React. Toxicol. Rev."
"Aeolian Research","Aeolian Res."
"Aerosol Science and Technology","Aerosol Sci. Technol."
"Aerospace Science and Technology","Aerosp. Sci. Technol."
"African Journal of Aquatic Science","Afr. J. Aquat. Sci."
"African Journal of Biochemistry Research","Afr. J. Biochem. Res."
"African Journal of Environmental Science and Technology","Afr. J. Environ. Sci. Technol."
"African Journal of Food Science","Afr. J. Food Sci."
"African Journal of Food, Agriculture, Nutrition and Development","Afr. J. Food Agric. Nutr. Dev."
"African Journal of Marine Science","Afr. J. Mar. Sci."
"African Journal of Plant Science","Afr. J. Plant Sci."
"African Journal of Range and Forage Science","Afr. J. Range Forage Sci."
"Agricultural Systems","Agric. Syst."
"Agricultural Water Management","Agric. Water Manage."
"Agricultural and Forest Entomology","Agric. For. Entomol."
"Agricultural and Forest Meteorology","Agric. For. Meteorol."
"Agriculture Ecosystems and Environment","Agric. Ecosyst. Environ."
"Agriculture and Forestry Bulletin","Agric. For. Bull."
"Agronomy Journal","Agron. J."
"Agronomy for Sustainable Development","Agron. Sustainable Dev."
"Air Quality, Atmosphere and Health","Air Qual. Atmos. Health"
"Air and Water Pollution","Air Water Pollut."
"Aircraft Design","Aircr. Des."
"Aircraft Engineering","Aircr. Eng."
"American Association of Petroleum Geologists Bulletin","Am. Assoc. Pet. Geol. Bull."
"American Bee Journal","Am. Bee. J."
"American Ceramic Society Bulletin","Am. Ceram. Soc. Bull."
"American Chemical Journal","Am. Chem. J."
"American Christmas Tree Journal","Am. Christmas Tree J."
"American Industrial Hygiene Association Journal","Am. Ind. Hyg. Assoc. J."
"American Journal of Alternative Agriculture","Am. J. Altern. Agric."
"American Journal of Biochemistry and Biotechnology","Am. J. Biochem. Biotechnol."
"American Journal of Clinical Nutrition","Am. J. Clin. Nutr."
"American Journal of Food Technology","Am. J. Food Technol."
"American Journal of Industrial Medicine","Am. J. Ind. Med."
"American Journal of Pharmacology and Toxicology","Am. J. Pharmacol. Toxicol."
"American Journal of Physical Anthropology","Am. J. Phys. Anthropol."
"American Journal of Potato Research","Am. J. Potato Res."
"American Journal of Respiratory Cell and Molecular Biology","Am. J. Respir. Cell Mol. Biol."
"American Journal of Science","Am. J. Sci."
"American Laboratory","Am. Lab."
"American Mineralogist","Am. Mineral."
"American Naturalist","Am. Nat."
"American Zoologist","Am. Zool."
"Amino Acids","Amino Acids"
"Ammonia Plant Safety and Related Facilities","Ammonia Plant Saf. Relat. Facil"
"Analele Universitatii Bucurersti. Chimie","Ann. Univ. Buc. Chim."
"Anales de Quimica","An. Quim."
"Anales de la Asociacion Quimica Argentina","An. Asoc. Quim. Argent."
"Analytica Chimica Acta","Anal. Chim. Acta"
"Analytical Biochemistry","Anal. Biochem."
"Analytical Chemistry","Anal. Chem."
"Analytical Chemistry Insights","Anal. Chem. Insights"
"Analytical Communications","Anal. Commun."
"Analytical Letters","Anal. Lett."
"Analytical Methods","Anal. Methods"
"Analytical Proceedings","Anal. Proc."
"Analytical Proceedings including Analytical Communications","Anal. Proc. incl. Anal. Commun."
"Analytical Sciences","Anal. Sci."
"Analytical and Bioanalytical Chemistry","Anal. Bioanal.Chem."
"Andean Geology","Andean Geol."
"Angewandte Chemie International Edition","Angew. Chem. Int. Ed."
"Angewandte Makromolekulare Chemie","Angew. Makromol. Chem."
"Animal Feed Science and Technology","Anim. Feed Sci. Technol."
"Animal Nutrition and Feed Technology","Anim. Nutr. Feed Technol."
"Animal Science","Anim. Sci."
"Animal Science and Technology","Anim. Sci. Technol."
"Annalen der Physik","Ann. Phys."
"Annales Geophysicae","Ann. Geophys."
"Annales Hydrographiques","Ann. Hydrogr."
"Annales de Biochimie Clinque du Quebec","Ann. Biochim. Clin. Que."
"Annales de Biologie Clinique","Ann. Biol. Clin. (Paris)"
"Annales de Biologie Clinique du Quebec","Ann. Biol. Clin. Que."
"Annales de Chimie","Ann. Chim."
"Annales de Chimie Analytique et Revue de Chimie Analytique Reunies","Ann. Chim. Anal. Rev. Chim. Anal. Reunies"
"Annales de Chimie Science des Materiaux","Ann. Chim. Sci. Mat."
"Annales de Paleontologie","Ann. Paleontol."
"Annales de Toxicologie Analytique","Ann. Toxicol. Anal."
"Annales de l'Institute Henri Poincare","Ann. Inst. Henri Poincare"
"Annales des Composites","Ann. Compos."
"Annales des Ponts et Chausses","Ann. Ponts Chaussees"
"Annales des Sciences Naturelles - Zoologie et Biologie Animale","Ann. Sci. Nat. Zool. Biol. Anim."
"Annali di Chimica","Ann. Chim. (Rome)"
"Annali di Geofisica","Ann. Geofis."
"Annals Chimie Analytique","Ann. Chim. Anal."
"Annals of Applied Biology","Ann. Appl. Biol."
"Annals of Biomedical Engineering","Ann. Biomed. Eng."
"Annals of Clinical Biochemistry","Ann. Clin. Biochem."
"Annals of GIS","Ann. Gis"
"Annals of Glaciology","Ann. Glaciol."
"Annals of Hematology","Ann. Hematol."
"Annals of Neurology","Ann. Neurol."
"Annals of Nuclear Engineering","Ann. Nucl. Eng."
"Annals of Occupational Hygiene","Ann. Occup. Hyg."
"Annals of Physics","Ann. Phys."
"Annals of Telecommunications","Ann. Telecommun."
"Annals of the New York Academy of Sciences","Ann. N.Y. Acad. Sci."
"Annual Reports - Royal Society of Chemistry, Section Section A: Inorganic Chemistry","Annu. Rep. R. Soc. Chem. Sect. A: Inorg. Chem."
"Annual Reports - Royal Society of Chemistry, Section Section B: Organic Chemistry","Annu. Rep. R. Soc. Chem. Sect. B. Org. Chem."
"Annual Reports - Royal Society of Chemistry, Section Section C: Physical Chemistry","Annu. Rep. R. Soc. Chem. Sect. C. Phys. Chem."
"Annual Reports in Medicinal Chemistry","Annu. Rep. Med. Chem."
"Annual Reports on Analytical Atomic Spectroscopy","Annu. Rep. Anal. At. Spectrosc."
"Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry","Annu. Rep. Prog. Chem. Sect. A: Inorg. Chem."
"Annual Reports on the Progress of Chemistry, Section B: Organic Chemistry","Annu. Rep. Prog. Chem. Sect. B: Org. Chem."
"Annual Reports on the Progress of Chemistry, Section C: Physical Chemistry","Annu. Rep. Prog. Chem. Sect. C: Phys. Chem."
"Annual Review in Control","Annu. Rev. Control"
"Annual Review of Biochemistry","Annu. Rev. Biochem."
"Annual Review of Biophysics","Annu. Rev. Biophys."
"Annual Review of Biophysics and Biomolecular Structure","Annu. Rev. Biophys. Biomol. Struct."
"Annual Review of Cell and Developmental Biology","Annu. Rev. Cell Dev. Biol."
"Annual Review of Energy and the Environment","Annu. Rev. Energy Env."
"Annual Review of Materials Science","Annu. Rev. Mater. Sci."
"Annual Review of Pharmacology and Toxicology","Annu. Rev. Pharmacol. Toxicol."
"Annual Review of Physical Chemistry","Annu. Rev. Phys. Chem."
"Antarctic Science","Antarct. Sci."
"Anti-Cancer Drug Design","Anti-Cancer Drug Des."
"Anticancer Research","Anticancer Res."
"Antimicrobial Agents and Chemotherapy","Antimicrob. Agents Chemother."
"Antisense and Nucleic Acid Drug Development","Antisense Nucleic Acid Drug Dev."
"Antiviral Chemistry and Chemotherapy","Antiviral Chem. Chemother."
"Appita Journal","Appita J."
"Appled Entomology and Zoology","Appl. Entomol. Zool."
"Applicable Algebra in Engineering, Communication and Computing","Appl. Algebra Eng. Commun. Comput."
"Applications and Applied Mathematics","Appl. Appl. Math."
"Applied Accoustics","Appl. Acoust."
"Applied Biochemistry and Biotechnology","Appl. Biochem. Biotechnol."
"Applied Biochemistry and Microbiology","Appl. Biochem. Microbiol."
"Applied Bionics and Biomechanics","Appl. Bionics Biomech."
"Applied Catalysis A: General","Appl. Catal., A"
"Applied Catalysis B: Environmental","Appl. Catal., B"
"Applied Clay Science","Appl. Clay Sci."
"Applied Composite Materials","Appl. Compos. Mater."
"Applied Energy","Appl. Energy"
"Applied Engineering in Agriculture","Appl. Eng. Agric."
"Applied Ergonomics","Appl. Ergon."
"Applied Geochemistry","Appl. Geochem."
"Applied Geography","Appl. Geogr."
"Applied Geophysics","Appl. Geophys."
"Applied Magnetic Resonance","Appl. Magn. Reson."
"Applied Mathematical Modelling","Appl. Math. Model."
"Applied Mathematics Letters","Appl. Math. Lett."
"Applied Mathematics and Computation","Appl. Math. Comput."
"Applied Mathematics and Optimization","Appl. Math. Optim."
"Applied Mechanics Reviews","Appl. Mech. Rev."
"Applied Microbiology and Biotechnology","Appl. Microbiol. Biotechnol."
"Applied Ocean Research","Appl. Ocean Res."
"Applied Optics","Appl. Opt."
"Applied Organometallic Chemistry","Appl. Organomet. Chem."
"Applied Physics A","Appl. Phys. A"
"Applied Physics B","Appl. Phys. B"
"Applied Physics Letters","Appl. Phys. Lett."
"Applied Physics Research","Appl. Phys. Res."
"Applied Physiology, Nutrition and Metabolism","Appl. Physiol. Nutr. Metab."
"Applied Radiation and Isotopes","Appl. Radiat. Isot."
"Applied Scientific Research","Appl. Sci. Res."
"Applied Soft Computing","Appl. Soft Comput."
"Applied Solar Energy","Appl. Solar Energy"
"Applied Spectroscopy","Appl. Spectrosc."
"Applied Spectroscopy Reviews","Appl. Spectrosc. Rev."
"Applied Superconductivity","Appl. Supercond."
"Applied Surface Science","Appl. Surf. Sci."
"Applied Thermal Engineering","Appl. Therm. Eng."
"Applied Vegetation Science","Appl. Veg. Sci."
"Applied and Computational Harmonic Analysis","Appl. Comput. Harmon. Anal."
"Applied and Environmental Microbiology","Appl. Environ. Microbiol."
"Aquacultural Engineering","Aquacult. Eng."
"Aquaculture Nutrition","Aquacult. Nutr."
"Aquatic Ecosystem Health & Management","Aquat. Ecosyst. Health Manage."
"Aquatic Geochemistry","Aquat. Geochem."
"Aquatic Microbial Ecology","Aquat. Microb. Ecol."
"Aquatic Sciences","Aquat. Sci."
"Aquatic Toxicology","Aquat. Toxicol."
"Arabian Journal of Chemistry","Arabian J. Chem."
"Arabian Journal of Geosciences","Arabian J. Geosci."
"Arbeiten der DLG","Arb. DLG"
"Arbeiten der Kaiserlichen Biologischen Anstalt fur Land- und Forstwirtschaft","Arb. Kais. Biol. Anst. Land Forstwirtsch."
"Archiv der Pharmazie","Arch. Pharm. (Weinheim)"
"Archiv für Elektrotechnik","Arch. Elektrotech."
"Archiv für Experimentalle Pathologie und Pharmakologie","Arch. Exp. Pathol. Pharmakol."
"Archiv für Hydrobiologie, Supplement","Arch. Hydrobiol. Suppl."
"Archiv für Kriminologie","Arch. Kriminol."
"Archiv für Lagerstattenforschung","Arch. Lagerstattenforsch."
"Archiv für Lebensmittelhygiene","Arch. Lebensmittelhyg."
"Archiv für Meteorologie, Geophysik, und Bioklimatologie Serie A Meteorologie und Geophysik","Arch. Meteorol. Geophys. Bioklimatol. A"
"Archive for History of Exact Sciences","Arch. Hist. Exact Sci."
"Archive for Rational Mechanics and Analysis","Arch. Ration. Mech. Anal."
"Archives Neerlandaises des Sciences Exactes et Naturelles","Arch. Neerl. Sci. Exactes Nat."
"Archives des Maladies Professionnelles et de l'Environment","Arch. Mal. Prof. Environ."
"Archives of Agronomy and Soil Science","Arch. Agron. Soil Sci."
"Archives of Biochemistry and Biophysics","Arch. Biochem. Biophys."
"Archives of Computational Methods in Engineering","Arch. Comput. Methods Eng."
"Archives of Environment Contamination and Toxicology","Arch. Environ. Contam. Toxicol."
"Archives of Environment Health","Arch. Environ. Health"
"Archives of Environmental & Occupational Health","Arch. Environ. Occup. Health"
"Archives of Foundry Engineering","Arch. Foundry Eng."
"Archives of Insect Biochemistry and Physiology","Arch. Insect Biochem. Physiol."
"Archives of Metallurgy and Materials","Arch. Metall. Mater."
"Archives of Microbiology","Arch. Microbiol."
"Archives of Mining Sciences","Arch. Min. Sci."
"Archives of Neurology","Arch. Neurol."
"Archives of Pharmacal Research","Arch. Pharmacal Res."
"Archives of Physiology and Biochemistry","Arch. Physiol. Biochem."
"Archives of Razi Institute","Arch. Razi Inst."
"Archives of Toxicology","Arch. Toxicol."
"Archives of Virology","Arch. Virol"
"Archivum Combustionis","Arch. Combust."
"Archivum Immunolgiae et Therapiae Experimentalis","Arch. Immunol. Ther. Exp."
"Arctic and Alpine Research","Arct. Alp. Res."
"Arkiv foer Geohysik","Ark. Geofys."
"Arkiv foer Kemi, Mineralogi och Geologi","Ark. Kemi Mineral. Geol."
"Arkiv foer Matematik, Astronomi, och Fysik","Ark. Mat. Astron. Fys."
"Arkiv foer Physik","Ark. Fys."
"Arthropod Management Tests","Arthropod Manage. Tests"
"Arthropod Structure","Arthropod Struct. Dev."
"Artificial Cells Blood Substitutes and Immobilization Biotechnology","Artif. Cells, Blood Substitues, Immobilization Biotechnol."
"Artificial Organs","Artif. Organs"
"Arzneimittel-Forschung/Drug Research","Arzneim.-Forsch."
"Asia-Pacific Journal of Atmospheric Sciences","Asia-Pac. J. Atmos. Sci."
"Asia-Pacific Journal of Chemical Engineering","Asia-Pac. J. Chem. Eng."
"Asian Journal of Biochemistry","Asian J. Biochem."
"Asian Journal of Biotechnology","Asian J. Biotechnol."
"Asian Journal of Chemistry","Asian J. Chem."
"Asian Journal of Control","Asian J. Control"
"Asian Journal of Experimental Biological Sciences","Asian J. Exp. Biol. Sci."
"Asian Journal of Experimental Sciences","Asian J. Exp. Sci."
"Asian Journal of Materials Science","Asian J. Mater. Sci."
"Asian Journal of Microbiology, Biotechnology & Environmental Sciences","Asian J. Microbiol. Biotechnol. Environ. Exp. Sci."
"Asian Journal of Pharmaceutical Sciences","Asian J. Pharm. Sci."
"Asian Journal of Physics","Asian J. Phys."
"Asian Journal of Spectroscopy","Asian J. Spectro."
"Asian Journal of Water, Environment and Pollution","Asian J. Water Environ. Pollut."
"Asian Textile Journal","Asian Text. J."
"Astronomical Journal","Astron. J."
"Astronomische Nachrichten","Astron. Nachr."
"Astronomy & Geophysics","Astron. Geophys."
"Astronomy Education Review","Astron. Educ. Rev."
"Astronomical Journal","Astron. J."
"Astronomy Letters","Astron. Lett."
"Astronomy Reports","Astron. Rep."
"Astronomy and Astrophysics","Astron. Astrophys."
"Astronomy and Astrophysics Review","Astron. Astrophys. Rev."
"Astroparticle Physics","Astropart. Phys."
"Astrophysical Bulletin","Astrophys. Bull."
"Astrophysics Journal","Astrophys. J."
"Astrophysics Journal Supplement Series","Astrophys. J. Suppl. Ser."
"Astrophysics and Space Science","Astrophys. Space Sci."
"Atmosphere-Ocean","Atmos. Ocean"
"Atmospheric Chemistry and Physics","Atmos. Chem. Phys."
"Atmospheric Chemistry and Physics Discussions","Atmos. Chem. Phys. Discuss."
"Atmospheric Environment","Atmos. Environ."
"Atmospheric Environment Part A General Topics","Atmos. Environ. Part A"
"Atmospheric Environment Part B Urban Atmosphere","Atmos. Environ. Part B"
"Atmospheric Measurement Techniques","Atmos. Meas. Tech."
"Atmospheric Research","Atmos. Res."
"Atmospheric Research Letters","Atmos. Res. Lett."
"Atmospheric Science Letters","Atmos. Sci. Lett."
"Atmospheric and Oceanic Optics","Atmos. Oceanic Opt."
"Atomic Data and Nuclear Data Tables","At. Data Nucl. Data Tables"
"Atomic Energy","At. Energy"
"Atomic Spectroscopy","At. Spectrosc."
"Atomization and Sprays","Atomization Sprays"
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti","Atti Accad. Naz. Lincei Cl. Sci. Fis. Mat. Nat. Rend."
"Australian Gemmologist","Aust. Gemmol."
"Australian Journal of Basic and Applied Sciences","Aust. J. Basic Appl. Sci."
"Australian Journal of Chemistry","Aust. J. Chem."
"Australian Journal of Crop Science","Aust. J. Crop Sci."
"Australian Journal of Earth Sciences","Aust. J. Earth Sci."
"Australian Journal of Education in Chemistry","Aust. J. Edu. Chem."
"Australian Journal of Experimental Research","Aust. J. Exp. Agric."
"Australian Journal of Grape and Wine Research","Aust. J. Grape Wine Res."
"Australian Journal of Marine & Freshwater Research","Aust. J. Mar. Freshwater Res."
"Australian Journal of Physics","Aust. J. Phys."
"Australian Journal of Soil Research","Aust. J. Soil Res."
"Automatic Control and Computer Sciences","Autom. Control Comput. Sci."
"Automatic Documentation and Mathematical Linguistics","Autom. Doc. Math. Ling."
"Automation and Remote Control","Autom. Remote Control"
"Automation in Construction","Autom. Constr."
"Avances en Quimica","Av. Quim."
"Aviation, Space and Environmental Medicine","Aviat. Space Environ. Med."
"BHM Berg- und Huttenmannische Monatshefte","BHM Berg- Huttenmann. Monatsh."
"BMC Biochemistry","BMC Biochem."
"BMC Bioinformatics","BMC Bioinf."
"BMC Biology","BMC Biol."
"BMC Biotechnology","BMC Biotechnol."
"BMC Chemical Biology","BMC Chem. Biol."
"BMC Clinical Pharmacology","BMC Clin. Pharmacol."
"BMC Developmental Biology","BMC Dev. Biol."
"BMC Ecology","BMC Ecol."
"BMC Evolutionary Biology","BMC Evol. Biol."
"BMC Genetics","BMC Genet."
"BMC Medical Genetics","BMC Med. Genet."
"BMC Medical Genomics","BMC Med. Genomics"
"BMC Medical Imaging","BMC Med. Imaging"
"BMC Medical Informatics and Decision Making","BMC Med. Inform. Decis. Making"
"BMC Medical Physics","BMC Med. Phys."
"BMC Medical Research Methodology","BMC Med. Res. Methodol."
"BMC Microbiology","BMC Microbiol."
"BMC Molecular Biology","BMC Mol. Biol."
"BMC Pharmacology","BMC Pharmacol."
"BMC Plant Biology","BMC Plant Biol."
"BMC Structural Biology","BMC Struct. Biol."
"BMC Systems Biology","BMC Syst. Biol."
"BMR Journal of Geology and Geophysics","BMR J. Aust. Geol. Geophys."
"Basic and Applied Ecology","Basic Appl. Ecol."
"Basin Research","Basin Res."
"Bayer CropScience Journal","Bayer CropSci. J."
"Behavioral Ecology and Sociobiology","Behav. Ecol. Sociobiol."
"Behavioural Pharmacology","Behav. Pharmacol."
"Beilstein Journal of Organic Chemistry","Beilstein J. Org. Chem."
"Beitraege zur Chemischen Physiologie und Pathologie","Beitr. Chem. Physiol. Pathol."
"Beitraege zur Gerichtlichen Medizin","Beitr. Gerichtl. Med."
"Bell Laboratories Record","Bell Lab. Rec."
"Bell Labs Technical Journal","Bell Labs Tech. J."
"Bell System Technical Journal","Bell Syst. Tech. J."
"Berg- und Huettenmaennische Monatshefte","Berg- Huettenmaenn. Monatsh."
"Berichte der Bunsen-Gesellschaft","Ber. Bunsen Ges."
"Berichte der Bunsen-Gesellschaft fur Physikalische Chemie","Ber. Bunsen Ges. Phys. Chem."
"Berichte der Deutschen Chemischen Gesellschaft","Ber. Dtsch. Chem. Ges."
"Berichte der Deutschen Gesellschaft fur Geologische Wissenschaft Reihe A: Geologie und Palaeontologie","Ber. Dtsch. Ges. Geol. Wiss. Reihe A"
"Berichte der Deutschen Gesellschaft fur Geologische Wissenschaft Reihe B: Mineralogie und Lagerstattenforschung","Ber. Dtsch. Ges. Geol. Wiss. Reihe B"
"Berichte der Deutschen Keramischen Gesellschaft","Ber. Dtsch. Keram. Ges."
"Berichte der Deutschen Pharmazeutischen Gesellschaft","Ber. Dtsch. Pharm. Ges."
