"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Mitteilungen der Gesellschaft für Angewandte Mathematik und Mechanik","GAMM Mitt. Ges. Angew. Math. Mech."
"GMD Research Series","GMD Res. Ser."
"GMD-Berichte","GMD-Ber."
"Ganita Sandesh","Ganita Sandesh"
"La Gaceta de la Real Sociedad Matemática Española","Gac. R. Soc. Mat. Esp."
"Games and Economic Behavior","Games Econom. Behav."
"Ganit","Ganit"
"Ganita","Ganita"
"Gaoxiao Yingyong Shuxue Xuebao","Gaoxiao Yingyong Shuxue Xuebao Ser. A"
"Garland Reference Library of Social Science","Garland Ref. Libr. Soc. Sci."
"Gauss-Gesellschaft e","Gauss-Ges. Göttingen Mitt."
"Gazette des Mathématiciens","Gaz. Math."
"The Gelfand Mathematical Seminars","Gelfand Math. Sem."
"General Relativity and Gravitation","Gen. Relativity Gravitation"
"Geometriae Dedicata","Geom. Dedicata"
"Geometric Design Publications","Geom. Des. Publ."
"Geometric and Functional Analysis","Geom. Funct. Anal."
"Geometry and Topology","Geom. Topol."
"Geombinatorics","Geombinatorics"
"Geophysical and Astrophysical Fluid Dynamics","Geophys. Astrophys. Fluid Dynam."
"Georgian Mathematical Journal","Georgian Math. J."
"Akademiya Nauk Ukrainy","Gibrid. Vychisl. Mashiny Kompleksy"
"Natsional\cprime naya Akademiya Nauk Ukrainy","Gidromekh. (Kiev)"
"Glasnik Matematički","Glas. Mat. Ser. III"
"Glasgow Mathematical Journal","Glasgow Math. J."
"Universitet po Arkhitektura, Stroitelstvo i Geodeziya Sofiya","God. Univ. Arkhit. Stroit. Geod. Sofiya Svit\cdprime k II Mat. Mekh."
"Godishnik na Visshiya Pedagogicheski Institut ""Konstantin Preslavski"" v Shumen","God. Vissh. Pedagog. Inst. ""Konstantin Preslavski"" Shumen Prir.-Mat. Fak. B"
"Godishnik na Visshite Uchebni Zavedeniya","Godishnik Vissh. Uchebn. Zaved. Prilozhna Mat."
"Godishnik na Visshite Uchebni Zavedeniya","Godishnik Vissh. Uchebn. Zaved. Tekhn. Fiz."
"Godishnik na Visshite Uchebni Zavedeniya","Godishnik Vissh. Uchebn. Zaved. Tekhn. Mekh."
"Gongcheng Shuxue Xuebao","Gongcheng Shuxue Xuebao"
"Graduate Studies in Mathematics","Grad. Stud. Math."
"Graduate Student Series in Physics","Grad. Student Ser. Phys."
"Graduate Texts in Computer Science","Grad. Texts Comput. Sci."
"Graduate Texts in Contemporary Physics","Grad. Texts Contemp. Phys."
"Graduate Texts in Mathematics","Grad. Texts in Math."
"Les Grands Classiques Gauthier-Villars","Grands Class. Gauthier-Villars"
"Graphs and Combinatorics","Graphs Combin."
"Kazanskiy Gosudarstvennyy Universitet","Gravitatsiya i Teor. Otnositel\cprime nosti"
"Grazer Mathematische Berichte","Grazer Math. Ber."
"Groningen Oriental Studies","Groningen Orient. Stud."
"Grundlehren der Mathematischen Wissenschaften","Grundlehren Math. Wiss."
"Grundwissen Mathematik","Grundwissen Math."
"Guangxi Sciences","Guangxi Sci."
"Guizhou Shifan Daxue Xuebao","Guizhou Shifan Daxue Xuebao Ziran Kexue Ban"
"Gujarat Statistical Review","Gujarat Statist. Rev."
"Göttinger Universitätsschriften","Göttinger Universitätsschr. Ser. A Schr."
"Hacettepe Bulletin of Natural Sciences and Engineering","Hacet. Bull. Nat. Sci. Eng. Ser. B"
"Hadronic Journal","Hadronic J."
"Hadronic Journal Supplement","Hadronic J. Suppl."
"Hadronic Press Monographs in Mathematics","Hadronic Press Monogr. Math."
"Kŏn'guk Taehakkyo, Haksul Yŏn'guwon","Hak-sul Chi"
"Handbook of Logic in Computer Science","Handb. Log. Comput. Sci."
"Handbook of Numerical Analysis","Handb. Numer. Anal."
"Handbook of Statistics","Handbook of Statist."
"Handbooks in Operations Research and Management Science","Handbooks Oper. Res. Management Sci."
"Handbooks in Economics","Handbooks in Econom."
"Handeln und Entscheiden in Komplexen Ökonomischen Situationen","Handeln Entscheid. Komplexen Ökon. Situat."
"Hardy-Ramanujan Journal","Hardy-Ramanujan J."
"Heilongjiang Daxue Ziran Kexue Xuebao","Heilongjiang Daxue Ziran Kexue Xuebao"
"Helsinki University of Technology","Helsinki Univ. Tech. Digit. Systems Lab. Ser. A Res. Rep."
"Helsinki University of Technology","Helsinki Univ. Tech. Inst. Math. Res. Rep."
"Helvetica Physica Acta","Helv. Phys. Acta"
"Heuresis V","Heuresis V Ling. Log. Sci."
"High Energy Physics and Nuclear Physics","High Energy Phys. Nuclear Phys."
"Hiroshima Journal of Mathematics Education","Hiroshima J. Math. Ed."
"Hiroshima Mathematical Journal","Hiroshima Math. J."
"History of Mathematics","Hist. Math."
"History and Philosophy of Logic","Hist. Philos. Logic"
"History of Science","Hist. Sci."
"Historia Mathematica","Historia Math."
"Historia Scientiarum","Historia Sci. (2)"
"Hitotsubashi Journal of Arts & Sciences","Hitotsubashi J. Arts Sci."
"Keio University","Hiyoshi Rev. Natur. Sci."
"Hohenheimer Volkswirtschaftliche Schriften","Hohenh. Volkswirtsch. Schr."
"Hokkaido Mathematical Journal","Hokkaido Math. J."
"Honam Mathematical Journal","Honam Math. J."
"Horwood Series in Mathematics & Applications","Horwood Ser. Math. Appl."
"Houston Journal of Mathematics","Houston J. Math."
"Huaihua Shizhuan Xuebao","Huaihua Shizhuan Xuebao"
"Hunan Annals of Mathematics","Hunan Ann. Math."
"Hunan Daxue Xuebao","Hunan Daxue Xuebao"
"Hunan Jiaoyu Xueyuan","Hunan Jiaoyu Xueyuan Xuebao (Ziran Kexue)"
"Hyogo University Journal","Hyogo Univ. J."
"IAPQR Transactions","IAPQR Trans."
"IAS/Park City Mathematics Series","IAS/Park City Math. Ser."
"ICASE/LaRC Interdisciplinary Series in Science and Engineering","ICASE/LaRC Interdiscip. Ser. Sci. Eng."
"The ICTP Series in Theoretical Physics","ICTP Ser. Theoret. Phys."
"IEE Electromagnetic Waves Series","IEE Electromagnet. Waves Ser."
"Institute of Electrical and Electronics Engineers","IEEE Trans. Antennas and Propagation"
"Institute of Electrical and Electronics Engineers","IEEE Trans. Automat. Control"
"IEEE Transactions on Circuits and Systems","IEEE Trans. Circuits Systems I Fund. Theory Appl."
"Institute of Electrical and Electronics Engineers","IEEE Trans. Comput."
"IEEE Transactions on Image Processing","IEEE Trans. Image Process."
"Institute of Electrical and Electronics Engineers","IEEE Trans. Inform. Theory"
"IEEE Transactions on Signal Processing","IEEE Trans. Signal Process."
"An IEEE/OUP Classic Reissue","IEEE/OUP Class. Reissue"
"IEEE/OUP Series on Electromagnetic Wave Theory","IEEE/OUP Ser. Electromagn. Wave Theory"
"IFAC Symposia Series","IFAC Sympos. Ser."
"IFIP Transactions A: Computer Science and Technology","IFIP Trans. A Comput. Sci. Tech."
"IMA Journal of Applied Mathematics","IMA J. Appl. Math."
"IMA Journal of Mathematics Applied in Business and Industry","IMA J. Math. Appl. Bus. Indust."
"IMA Journal of Mathematical Control and Information","IMA J. Math. Control Inform."
"IMA Journal of Numerical Analysis","IMA J. Numer. Anal."
"The Institute of Mathematics & its Applications Monograph Series","IMA Monogr. Ser."
"The IMA Volumes in Mathematics and its Applications","IMA Vol. Math. Appl."
"IMHOTEP","IMHOTEP J. Afr. Math. Pures Appl."
"Institute of Mathematical Statistics Lecture Notes---Monograph Series","IMS Lecture Notes Monogr. Ser."
"IMS Report","IMS Rep."
"INFORMS Journal on Computing","INFORMS J. Comput."
"IPA Dissertation Series","IPA Diss. Ser."
"Ideas in Context","Ideas Context"
"Illinois Journal of Mathematics","Illinois J. Math."
"Koninklijke Nederlandse Akademie van Wetenschappen","Indag. Math. (N.S.)"
"Indian Journal of History of Science","Indian J. Hist. Sci."
"Indian Journal of Mathematics","Indian J. Math."
"Indian Journal of Pure and Applied Mathematics","Indian J. Pure Appl. Math."
"Indian Science Cruiser","Indian Sci. Cruiser"
"Indiana University Mathematics Journal","Indiana Univ. Math. J."
"Industrial Mathematics","Indust. Math."
"Infinite Dimensional Analysis, Quantum Probability and Related Topics","Infin. Dimens. Anal. Quantum Probab. Relat. Top."
"Information Processing Letters","Inform. Process. Lett."
"Information Sciences","Inform. Sci."
"Information and Computation","Inform. and Comput."
"Information and Control","Inform. and Control (Shenyang)"
"Informatica","Informatica (Ljubl.)"
"Lithuanian Academy of Sciences","Informatica (Vilnius)"
"Information","Information"
"Innovations in Applied Mathematics","Innov. Appl. Math."
"Institut des Hautes études Scientifiques","Inst. Hautes études Sci. Publ. Math."
"Institutionen für Internationell Pedagogik","Inst. Int. Pedagog. Report"
"The Institute of Mathematics and its Applications Conference Series","Inst. Math. Appl. Conf. Ser. New Ser."
"Institute for Nonlinear Science","Inst. Nonlinear Sci."
"Institutul Politehnic ""Traian Vuia"" Timișoara","Inst. Politehn. Traian Vuia Timișoara Lucrăr. Sem. Mat. Fiz."
"Institut Élie Cartan","Inst. Élie Cartan"
"Insurance: Mathematics & Economics","Insurance Math. Econom."
"Integrating Materials and Manufacturing Innovation","Integr. Mater. Manuf. Innov."
"International Journal of Computational Fluid Dynamics","Int. J. Comput. Fluid Dyn."
"International Journal of Computer Mathematics","Int. J. Comput. Math."
"International Journal of Fluid Mechanics Research","Int. J. Fluid Mech. Res."
"The International Journal of Intelligent Control and Systems","Int. J. Intell. Control Syst."
"International Journal of Mathematics, Game Theory, and Algebra","Int. J. Math. Game Theory Algebra"
"International Journal of Mathematical and Statistical Sciences","Int. J. Math. Stat. Sci."
"International Society for Analysis, Applications and Computation","Int. Soc. Anal. Appl. Comput."
"Integral Equations and Operator Theory","Integral Equations Operator Theory"
"Integral Transforms and Special Functions","Integral Transform. Spec. Funct."
"Interdisciplinary Applied Mathematics","Interdiscip. Appl. Math."
"Interdisciplinary Information Sciences","Interdiscip. Inform. Sci."
"Interdisciplinary Mathematics","Interdiscip. Math."
"Interdisciplinary Statistics","Interdiscip. Statist."
"""Interferences"" Series","Interf. Ser."
"International Applied Mechanics","Int. Appl. Mech."
"International Economic Review","Int. Econom. Rev."
"International Journal of Adaptive Control and Signal Processing","Int. J. Adapt. Control Signal Process."
"International Journal of Algebra and Computation","Int. J. Algebra Comput."
"International Journal of Applied Science and Computations","Int. J. Appl. Sci. Comput."
"International Journal of Approximate Reasoning","Int. J. Approx. Reason."
"International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","Int. J. Bifur. Chaos Appl. Sci. Eng."
"International Journal of Computational Geometry & Applications","Int. J. Comput. Geom. Appl."
"International Journal of Control","Int. J. Control"
"International Journal of Engineering Science","Int. J. Eng. Sci."
"International Journal of Game Theory","Int. J. Game Theory"
"International Journal of Information and Management Sciences","Int. J. Inform. Management Sci."
"International Journal of Mathematics","Int. J. Math."
"International Journal of Mathematical Education in Science and Technology","Int. J. Math. Ed. Sci. Tech."
"International Journal of Mathematics and Mathematical Sciences","Int. J. Math. Math. Sci."
"International Journal of Modern Physics A","Int. J. Modern Phys. A"
"International Journal of Modern Physics B","Int. J. Modern Phys. B"
"International Journal of Modern Physics C","Int. J. Modern Phys. C"
"International Journal of Modern Physics","Int. J. Modern Phys. D"
"International Journal of Modern Physics","Int. J. Modern Phys. E"
"International Journal of Non-Linear Mechanics","Int. J. Non-Linear Mech."
"International Journal for Numerical Methods in Engineering","Int. J. Numer. Methods Eng."
"International Journal for Numerical Methods in Fluids","Int. J. Numer. Methods Fluids"
"International Journal of Numerical Methods for Heat & Fluid Flow","Int. J. Numer. Methods Heat Fluid Flow"
"International Journal of Robust and Nonlinear Control","Int. J. Robust Nonlinear Control"
"International Journal of Solids and Structures","Int. J. Solids Structures"
"International Journal of Theoretical Physics","Int. J. Theoret. Phys."
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems","Int. J. Uncertain. Fuzziness Knowledge-Based Systems"
"International Mathematical News","Int. Math. News"
"International Mathematics Research Notices","Int. Math. Res. Notices"
"International Schools for Computer Scientists","Int. Schools Comput. Sci."
"International Series on Computational Engineering","Int. Ser. Comput. Eng."
"International Series in Intelligent Technologies","Int. Ser. Intell. Tech."
"International Series of Monographs on Chemistry","Int. Ser. Monogr. Chem."
"International Series of Monographs on Physics","Int. Ser. Monogr. Phys."
"International Series of Numerical Mathematics","Int. Ser. Numer. Math."
"International Series in Operations Research & Management Science","Int. Ser. Oper. Res. Management Sci."
"International Studies in the Philosophy of Science","Int. Stud. Philos. Sci."
"International Symposia in Economic Theory and Econometrics","Int. Sympos. Econom. Theory Econometrics"
"International Union of Crystallography Crystallographic Symposia","Int. Union Cryst. Cryst. Sympos."
"International Year-Book of Game Theory and Applications","Int. Year-Book Game Theory Appl."
"Inventiones Mathematicae","Invent. Math."
"Inverse and Ill-posed Problems Series","Inverse Ill-posed Probl. Ser."
"Inverse Problems","Inverse Problems"
"Investigación Operacional","Investigación Oper."
"Iranian Journal of Science and Technology","Iranian J. Sci. Tech."
"Irish Mathematical Society Bulletin","Irish Math. Soc. Bull."
"The Isaac Newton Institute Series of Lectures","Isaac Newton Inst. Ser. Lectures"
"Isis","Isis"
"Islamic Philosophy, Theology, and Science","Islam. Philos. Theol. Sci."
"Israel Journal of Mathematics","Israel J. Math."
"Israel Mathematical Conference Proceedings","Israel Math. Conf. Proc."
"Kievskiy Gosudarstvennyy Universitet","Issled. Operatsiy i ASU"
"Kazanskiy Universitet","Issled. Prikl. Mat."
"Kazanskiy Universitet","Issled. Teor. Plastin i Obolochek"
"Istituto Lombardo","Istit. Lombardo Accad. Sci. Lett. Rend. A"
"Istituto per la Ricerca di Base","Istit. Ric. Base Ser. Monogr. Adv. Math."
"Istituto Veneto di Scienze, Lettere ed Arti","Istit. Veneto Sci. Lett. Arti Atti Cl. Sci. Fis. Mat. Natur."
"Istoriya i Metodologiya Estestvennykh Nauk","Istor. Metodol. Estestv. Nauk"
"\cyr Istoriki Nauki Rossii XX \cyr Veka","Istor. Nauki Ross. XX Veka"
"\cyr Istoriko-Astronomicheskie Issledovaniya","Istor.-Astronom. Issled."
"Istoriko-Matematicheskie Issledovaniya","Istor.-Mat. Issled."
"\cyr Itogi Nauki i Tekhniki","Itogi Nauki i Tekhniki"
"Akademiya Nauk Respubliki Armeniya","Izv. Akad. Nauk Respub. Armeniya Mekh."
"Akademiya Nauk Respubliki Kyrgyzstan","Izv. Akad. Nauk Respub. Kyrgyzstan"
"Akademiya Nauk Respubliki Moldova","Izv. Akad. Nauk Respub. Moldova Fiz. Tekhn."
"Akademiya Nauk Respubliki Moldova","Izv. Akad. Nauk Respub. Moldova Mat."
"Izvestiya, Atmospheric and Oceanic Physics","Izv. Atmos. Ocean. Phys."
"Izvestiya","Izv. Math."
"Izvestiya Ministerstva Nauki--Akademii Nauk Respubliki Kazakhstan","Izv. Minister. Nauki Akad. Nauk Resp. Kaz. Ser. Fiz.-Mat."
"Izvestiya Natsional\cprime noy Akademii Nauk Armenii","Izv. Nats. Akad. Nauk Armen. Mekh."
"Natsional\cprime naya Akademiya Nauk Armenii","Izv. Nats. Akad. Nauk Armenii Mat."
"Rossíiskaya Akademiya Nauk","Izv. Ross. Akad. Nauk Mekh. Zhidk. Gaza"
"Rossíiskaya Akademiya Nauk","Izv. Ross. Akad. Nauk Ser. Mat."
"Tekhnicheskiya Universitet v Plovdiv","Izv. Tekhn. Univ. Plovdiv. Fund. Nauk. Prilozhen."
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Fiz."
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Mat."
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Prikl. Neliney n. Dinamika"
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Radiofiz."
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Sev.-Kavk. Reg. Estestv. Nauki"
"Izvestiya Vysshikh Uchebnykh Zavedeniy","Izv. Vyssh. Uchebn. Zaved. Severo-Kavkaz. Reg. Estestv. Nauk."
"Journal of the ACM","J. ACM"
"Journal of Algebra","J. Algebra"
"Journal of Algebraic Combinatorics","J. Algebraic Combin."
"Journal of Algebraic Geometry","J. Algebraic Geom."
"Journal of Algorithms","J. Algorithms"
"Journal of the American Mathematical Society","J. Amer. Math. Soc."
"Journal of the American Statistical Association","J. Amer. Statist. Assoc."
"Journal of Analysis","J. Anal."
"Journal d'Analyse Mathématique","J. Anal. Math."
"Journal of Applied Analysis","J. Appl. Anal."
"Journal of Applied Mathematics & Decision Sciences","J. Appl. Math. Decis. Sci."
"Journal of Applied Mathematics and Mechanics","J. Appl. Math. Mech."
"Journal of Applied Mechanics and Technical Physics","J. Appl. Mech. Tech. Phys."
"Journal of Applied Non-Classical Logics","J. Appl. Non-Classical Logics"
"Journal of Applied Probability","J. Appl. Probab."
"Journal of Applied Statistics","J. Appl. Statist."
"Journal of Applied Statistical Science","J. Appl. Statist. Sci."
"Journal of Approximation Theory","J. Approx. Theory"
"Journal of Artif. Intell. Research","J. Artif. Intell. Res."
"Journal of the Asahikawa National College of Technology","J. Asahikawa Nat. College Tech."
"Journal of the Assam Science Society","J. Assam Sci. Soc."
"American Astronautical Society","J. Astronaut. Sci."
"Journal of the Atmospheric Sciences","J. Atmospheric Sci."
"Australian Mathematical Society","J. Austral. Math. Soc. Ser. A"
"Australian Mathematical Society","J. Austral. Math. Soc. Ser. B"
"Journal of Automata, Languages and Combinatorics","J. Autom. Lang. Comb."
"Journal of Automation and Information Sciences","J. Automat. Inform. Sci."
"Journal of Automated Reasoning","J. Automat. Reason."
"Baoji College of Arts and Science","J. Baoji College Arts Sci. Nat. Sci."
"Beijing Institute of Technology","J. Beijing Inst. Tech."
"Journal of Beijing Institute of Technology (Chinese Edition)","J. Beijing Inst. Technol. (Chin. Ed.)"
"Bihar Mathematical Society","J. Bihar Math. Soc."
"Journal of Biomathematics","J. Biomath."
"Journal of Business & Economic Statistics","J. Bus. Econom. Statist."
"Journal of Central China Normal University","J. Central China Normal Univ. Natur. Sci."
"Changsha Communications University","J. Changsha Comm. Univ."
"Changsha University of Electric Power","J. Changsha Univ. Electr. Power Nat. Sci. Ed."
"Journal of Chengdu University","J. Chengdu Univ. Natur. Sci."
"Journal of Chengdu University of Science and Technology","J. Chengdu Univ. Sci. Tech."
"Journal of China University of Science and Technology","J. China Univ. Sci. Tech."
"Chinese Institute of Engineers","J. Chinese Inst. Engrs."
"Journal of Classification","J. Classification"
"Journal of Combinatorial Optimization","J. Comb. Optim."
"Journal of Combinatorial Designs","J. Combin. Des."
"Journal of Combinatorics, Information & System Sciences","J. Combin. Inform. System Sci."
"Journal of Combinatorial Mathematics and Combinatorial Computing","J. Combin. Math. Combin. Comput."
"Journal of Combinatorial Theory","J. Combin. Theory Ser. A"
"Journal of Combinatorial Theory","J. Combin. Theory Ser. B"
"Journal of Complexity","J. Complexity"
"Journal of Computational and Applied Mathematics","J. Comput. Appl. Math."
"Journal of Computational and Graphical Statistics","J. Comput. Graph. Statist."
"Journal of Computational Science","J. Comput. Sci."
"Journal of Computing and Information","J. Comput. Inf."
"Journal of Computing and Information","J. Comput. Inform."
"Journal of Computational Mathematics","J. Comput. Math."
"Journal of Computational Physics","J. Comput. Phys."
"Journal of Computer Science and Technology","J. Comput. Sci. Tech."
"Journal of Computer and System Sciences","J. Comput. System Sci."
"Journal of Contemporary Mathematical Analysis","J. Contemp. Math. Anal."
"Journal of Convex Analysis","J. Convex Anal."
"Journal of Cryptology","J. Cryptology"
"Journal of Dalian University of Technology","J. Dalian Univ. Tech."
"Journal of Difference Equations and Applications","J. Differ. Equations Appl."
"Journal of Differential Equations","J. Differential Equations"
"Journal of Differential Geometry","J. Differential Geom."
"Journal of Discrete Mathematical Sciences & Cryptography","J. Discrete Math. Sci. Cryptography"
"Journal of Dynamical and Control Systems","J. Dynam. Control Systems"
"Journal of Dynamics and Differential Equations","J. Dynam. Differential Equations"
"Journal of East China Normal University","J. East China Norm. Univ. Natur. Sci. Ed."
"Journal of Economic Dynamics & Control","J. Econom. Dynam. Control"
"Journal of Economic Theory","J. Econom. Theory"
"Journal of Econometrics","J. Econometrics"
"Journal of the Egyptian Mathematical Society","J. Egyptian Math. Soc."
"Journal of Elasticity","J. Elasticity"
"Journal of Electrotechnics and Mathematics","J. Electrotech. Math."
"Journal of Engineering Mathematics","J. Eng. Math."
"Journal of Experimental and Theoretical Physics","J. Experiment. Theoret. Phys."
"Journal of the Faculty of Engineering","J. Fac. Eng. Chiba Univ."
"Journal of the Faculty of Engineering","J. Fac. Eng. Univ. Tokyo Ser. B"
"Kyushu Sangyo University","J. Fac. Int. Stud. Cult. Kyushu Sangyo Univ."
"Journal of the Faculty of Liberal Arts","J. Fac. Liberal Arts Yamaguchi Univ. Natur. Sci."
"Journal of the Faculty of Science and Engineering","J. Fac. Sci. Eng. Kinki Univ."
"Journal of the Faculty of Science","J. Fac. Sci. Shinshu Univ."
"Kinki University","J. Fac. Sci. Tech. Kinki Univ."
"Journal of Fluid Mechanics","J. Fluid Mech."
"The Journal of Fourier Analysis and Applications","J. Fourier Anal. Appl."
"Journal of Fractional Calculus","J. Fract. Calc."
"Journal of the Franklin Institute","J. Franklin Inst. B"
"Fudan University","J. Fudan Univ. Nat. Sci."
"Journal of Functional Analysis","J. Funct. Anal."
"The Journal of Functional and Logic Programming","J. Funct. Logic Programming"
"Journal of Functional Programming","J. Funct. Programming"
"Journal of Fuzhou University","J. Fuzhou Univ. Nat. Sci. Ed."
"Journal of Fuzzy Mathematics","J. Fuzzy Math."
"Journal of Gansu University of Technology","J. Gansu Univ. Technol."
"Journal of Gansu University of Technology","J. Gansu Univ. Technol. (Engl. Ed.)"
"Journal for General Philosophy of Science","J. Gen. Philos. Sci."
"Journal of Geometry","J. Geom."
"The Journal of Geometric Analysis","J. Geom. Anal."
"Journal for Geometry and Graphics","J. Geom. Graph."
"Journal of Geometry and Physics","J. Geom. Phys."
"Journal of Global Optimization","J. Global Optim."
"Journal of the Graduate School and Faculty of Engineering","J. Grad. Sch. Fac. Eng. Univ. Tokyo Ser. B"
"Journal of Graph Algorithms and Applications","J. Graph Algorithms Appl."
"Journal of Graph Theory","J. Graph Theory"
"Journal of Group Theory","J. Group Theory"
"Journal of Hangzhou University","J. Hangzhou Univ. Natur. Sci. Ed."
"Harbin Institute of Technology","J. Harbin Inst. Tech."
"The Journal of High Energy Physics","J. High Energy Phys."
"Journal for the History of Arabic Science","J. Hist. Arabic Sci."
"Journal for the History of Astronomy","J. Hist. Astronom."
"Journal of Hohai University","J. Hohai Univ."
"Journal of Hokkaido University of Education","J. Hokkaido Univ. Ed. Sect. II A"
"Journal of Huaqiao University","J. Huaqiao Univ. Nat. Sci. Ed."
"Huazhong (Central China) University of Science and Technology","J. Huazhong Univ. Sci. Tech."
"Journal of Hydrodynamics","J. Hydrodyn. Ser. B (English Ed.)"
"Indian Academy of Mathematics","J. Indian Acad. Math."
"Indian Institute of Science","J. Indian Inst. Sci."
"The Journal of the Indian Mathematical Society","J. Indian Math. Soc. (N.S.)"
"Journal of the Indian Society of Agricultural Statistics","J. Indian Soc. Agricultural Statist."
"Journal of Indian Society of Statistics and Operations Research","J. Indian Soc. Statist. Oper. Res."
"Journal of the Indian Statistical Association","J. Indian Statist. Assoc."
"Journal of Information & Optimization Sciences","J. Inform. Optim. Sci."
"Institute of Mathematics & Computer Sciences","J. Inst. Math. Comput. Sci. Comput. Sci. Ser."
"Institute of Mathematics & Computer Sciences","J. Inst. Math. Comput. Sci. Math. Ser."
"Journal of Integral Equations and Applications","J. Integral Equations Appl."
"Journal of Integral Equations and Mathematical Physics","J. Integral Equations Math. Phys."
"Journal of Interdisciplinary Mathematics","J. Interdiscip. Math."
"Journal of Inverse and Ill-Posed Problems","J. Inverse Ill-Posed Probl."
"Journal of the Japan Statistical Society (Nihon Tôkei Gakkai Kaihô)","J. Japan Statist. Soc."
"Journal of the Japanese Society of Computational Statistics","J. Japanese Soc. Comput. Statist."
"Journal of Jiangxi Normal University","J. Jiangxi Norm. Univ. Nat. Sci. Ed."
"Jishou University","J. Jishou Univ. Nat. Sci. Ed."
"Journal of Knot Theory and its Ramifications","J. Knot Theory Ramifications"
"Journal of the Korea Society of Mathematical Education","J. Korea Soc. Math. Educ. Ser. B Pure Appl. Math."
"Journal of the Korean Mathematical Society","J. Korean Math. Soc."
"Journal of the Korean Statistical Society","J. Korean Statist. Soc."
"Journal of Lanzhou Railway Institute","J. Lanzhou Railway Inst."
"Journal of Lanzhou University","J. Lanzhou Univ. Nat. Sci."
"Journal of Lie Theory","J. Lie Theory"
"Journal of Logic and Computation","J. Logic Comput."
"Journal of Logic, Language and Information","J. Logic Lang. Inform."
"Journal of Logic Programming","J. Logic Programming"
"The Journal of the London Mathematical Society","J. London Math. Soc. (2)"
"Luoyang University","J. Luoyang Univ."
"Journal of Mathematics","J. Math. (Wuhan)"
"Journal of Mathematical Analysis and Applications","J. Math. Anal. Appl."
"Journal of Mathematical Biology","J. Math. Biol."
"Journal of Mathematical Chemistry","J. Math. Chem."
"Journal of Mathematical Economics","J. Math. Econom."
"Journal of Mathematical Imaging and Vision","J. Math. Imaging Vision"
"Journal of Mathematics of Kyoto University","J. Math. Kyoto Univ."
"Journal of Mathematical Physics","J. Math. Phys."
"Journal of Mathematical and Physical Sciences","J. Math. Phys. Sci."
"Journal of Mathematical Psycholog y","J. Math. Psych."
"Journal de Mathématiques Pures et Appliquées","J. Math. Pures Appl. (9)"
"Journal of Mathematical Research and Exposition","J. Math. Res. Exposition"
"Journal of Mathematical Sciences (Calcutta)","J. Math. Sci. (Calcutta)"
"Journal of Mathematical Sciences (New York)","J. Math. Sci. (New York)"
"The University of Tokyo","J. Math. Sci. Univ. Tokyo"
"Journal of the Mathematical Society of Japan","J. Math. Soc. Japan"
"Journal of Mathematical Study","J. Math. Study"
"Journal of Mathematical Systems, Estimation, and Control","J. Math. Systems Estim. Control"
"Journal of Mathematics","J. Math. Tokushima Univ."
"Maulana Azad College of Technology","J. Maulana Azad College Tech."
"Journal of the Mechanics and Physics of Solids","J. Mech. Phys. Solids"
"Journal of Modern Optics","J. Modern Opt."
"Journal of the Mongolian Mathematical Society","J. Mong. Math. Soc."
"Moscow Physical Society","J. Moscow Phys. Soc."
"Journal of Multivariate Analysis","J. Multivariate Anal."
"Journal of Nanjing Normal University","J. Nanjing Norm. Univ. Nat. Sci. Ed."
"Journal of Natural Geometry","J. Natur. Geom."
"Journal of Natural & Physical Sciences","J. Natur. Phys. Sci."
"The Journal of Natural Sciences and Mathematics","J. Natur. Sci. Math."
"Journal of the Nigerian Mathematical Society","J. Nigerian Math. Soc."
"Journal of Ningxia University","J. Ningxia Univ. Nat. Sci. Ed."
"Journal of Nonlinear Mathematical Physics","J. Nonlinear Math. Phys."
"Journal of Nonlinear Science","J. Nonlinear Sci."
"Journal of Nonparametric Statistics","J. Nonparametr. Statist."
"Journal of Northeastern University","J. Northeast. Univ. Nat. Sci."
"Journal of Northwest University","J. Northwest Univ."
"Journal of Number Theory","J. Number Theory"
"Journal on Numerical Methods and Computer Applications","J. Numer. Methods Comput. Appl."
"Ocean University of Qingdao","J. Ocean Univ. Qingdao"
"Journal of the Operations Research Society of Japan","J. Oper. Res. Soc. Japan"
"Journal of Operator Theory","J. Operator Theory"
"Journal of the Optical Society of America A","J. Opt. Soc. Amer. A"
"Journal of Optimization Theory and Applications","J. Optim. Theory Appl."
"Journal of Orissa Mathematical Society","J. Orissa Math. Soc."
"Journal of Partial Differential Equations","J. Partial Differential Equations"
"The Journal of Philosophy","J. Philos."
"Journal of Philosophical Logic","J. Philos. Logic"
"Journal of Physics A: Mathematical and Theoretical","J. Phys. A: Math. Theor."
