"Advances In Parasitology","Adv Parasitol","",""
"Advances In Pediatric Infectious Diseases","Adv Pediatr Infect Dis","",""
"Advances In Pediatrics","Adv Pediatr","",""
"Advances In Peritoneal Dialysis","Adv Perit Dial","",""
"Advances In Pharmacology","Adv Pharmacol","",""
"Advances In Prostaglandin, Thromboxane, and Leukotriene Research","Adv Prostaglandin Thromboxane Leukot Res","",""
"Advances In Protein Chemistry","Adv Protein Chem","",""
"Advances In Psychosomatic Medicine","Adv Psychosom Med","",""
"Advances In Renal Replacement Therapy","Adv Ren Replace Ther","",""
"Advances In Second Messenger and Phosphoprotein Research","Adv Second Messenger Phosphoprotein Res","",""
"Advances In Surgery (St. Louis, Mo","Adv Surg","",""
"Advances and Technical Standards In Neurosurgery","Adv Tech Stand Neurosurg","",""
"Advances In Veterinary Medicine","Adv Vet Med","",""
"Advances In Virus Research","Adv Virus Res","",""
"Adverse Drug Reactions and Toxicological Reviews","Adverse Drug React Toxicol Rev","",""
"Aesthetic Plastic Surgery","Aesthetic Plast Surg","",""
"African Journal of Medicine and Medical Sciences","Afr J Med Med Sci","",""
"Age and Ageing","Age Ageing","",""
"Agents and Actions. Supplements","Agents Actions Suppl","",""
"Aging","Aging (Milano)","",""
"AIDS","AIDS","",""
"AIDS Care","AIDS Care","",""
"AIDS Clinical Review","AIDS Clin Rev","",""
"AIDS Education and Prevention","AIDS Educ Prev","",""
"AIDS Research and Human Retroviruses","AIDS Res Hum Retroviruses","",""
"AJNR. American Journal of Neuroradiology","AJNR Am J Neuroradiol","",""
"AJR. American Journal of Roentgenology","AJR Am J Roentgenol","",""
"Aktuelle Radiologie","Aktuelle Radiol","",""
"Akusherstvo I Ginekologiia","Akush Ginekol (Sofiia)","",""
"Alaska Medicine","Alaska Med","",""
"Alcohol","Alcohol","",""
"Alcohol and Alcoholism","Alcohol Alcohol","",""
"Alcohol and Alcoholism. Supplement","Alcohol Alcohol Suppl","",""
"Alcohol Health and Research World","Alcohol Health Res World","",""
"Alcoholism, Clinical and Experimental Research","Alcohol Clin Exp Res","",""
"Alimentary Pharmacology and Therapeutics","Aliment Pharmacol Ther","",""
"Allergie Et Immunologie","Allerg Immunol (Paris)","",""
"Allergologia Et Immunopathologia","Allergol Immunopathol (Madr)","",""
"Allergy","Allergy","",""
"Allergy and Asthma Proceedings","Allergy Asthma Proc","",""
"Alternative Therapies In Health and Medicine","Altern Ther Health Med","",""
"Alzheimer Disease and Associated Disorders","Alzheimer Dis Assoc Disord","",""
"American Annals of The Deaf","Am Ann Deaf","",""
"American Family Physician","Am Fam Physician","",""
"American Heart Journal","Am Heart J","",""
"American Indian and Alaska Native Mental Health Research","Am Indian Alsk Native Ment Health Res","",""
"American Indian and Alaska Native Mental Health Research. MonographSeries Am Indian Alsk Native Ment Health Re","Monogr Ser","",""
"American Industrial Hygiene Association Journal","Am Ind Hyg Assoc J","",""
"American Journal on Addictions","Am J Addict","",""
"American Journal of Cardiac IMAging","Am J Card Imaging","",""
"American Journal of Cardiology","Am J Cardiol","",""
"American Journal of Cardiovascular Pathology","Am J Cardiovasc Pathol","",""
"American Journal of Chinese Medicine","Am J Chin Med","",""
"American Journal of Clinical Hypnosis","Am J Clin Hypn","",""
"American Journal of Clinical Nutrition","Am J Clin Nutr","",""
"American Journal of Clinical Oncology","Am J Clin Oncol","",""
"American Journal of Clinical Pathology","Am J Clin Pathol","",""
"American Journal of Community Psychology","Am J Community Psychol","",""
"American Journal of Contact Dermatitis","Am J Contact Dermat","",""
"American Journal of Critical Care","Am J Crit Care","",""
"American Journal of Dermatopathology","Am J Dermatopathol","",""
"American Journal of Drug and Alcohol Abuse","Am J Drug Alcohol Abuse","",""
"American Journal of Emergency Medicine","Am J Emerg Med","",""
"American Journal of Epidemiology","Am J Epidemiol","",""
"American Journal of Forensic Medicine and Pathology","Am J Forensic Med Pathol","",""
"American Journal of Gastroenterology","Am J Gastroenterol","",""
"American Journal of Geriatric Psychiatry","Am J Geriatr Psychiatry","",""
"American Journal of Health-System Pharmacy","Am J Health Syst Pharm","",""
"American Journal of Hematology","Am J Hematol","",""
"American Journal of Human Genetics","Am J Hum Genet","",""
"American Journal of Hypertension","Am J Hypertens","",""
"American Journal of Industrial Medicine","Am J Ind Med","",""
"American Journal of Infection Control","Am J Infect Control","",""
"American Journal of Kidney Diseases","Am J Kidney Dis","",""
"American Journal of Knee Surgery","Am J Knee Surg","",""
"American Journal of Law and Medicine","Am J Law Med","",""
"American Journal of Medical Genetics","Am J Med Genet","",""
"American Journal of Medical Genetics. Supplement","Am J Med Genet Suppl","",""
"American Journal of Medical Quality","Am J Med Qual","",""
"American Journal of The Medical Sciences","Am J Med Sci","",""
"American Journal of Medicine","Am J Med","",""
"American Journal of Mental Retardation","Am J Ment Retard","",""
"American Journal of Nephrology","Am J Nephrol","",""
"American Journal of Nursing","Am J Nurs","",""
"American Journal of Obstetrics and Gynecology","Am J Obstet Gynecol","",""
"American Journal of Occupational Therapy","Am J Occup Ther","",""
"American Journal of Ophthalmology","Am J Ophthalmol","",""
"American Journal of Orthodontics and Dentofacial Orthopedics","Am J Orthod Dentofacial Orthop","",""
"American Journal of Orthopedics","Am J Orthop","",""
"American Journal of Orthopsychiatry","Am J Orthopsychiatry","",""
"American Journal of Otolaryngology","Am J Otolaryngol","",""
"American Journal of Otology","Am J Otol","",""
"American Journal of Pathology","Am J Pathol","",""
"American Journal of Perinatology","Am J Perinatol","",""
"American Journal of Physical Anthropology","Am J Phys Anthropol","",""
"American Journal of Physical Medicine and Rehabilitation","Am J Phys Med Rehabil","",""
"American Journal of Physiology","Am J Physiol","",""
"American Journal of Preventive Medicine","Am J Prev Med","",""
"American Journal of Primatology","Am J Primatol","",""
"American Journal of Psychiatry","Am J Psychiatry","",""
"American Journal of Psychoanalysis","Am J Psychoanal","",""
"American Journal of Psychology","Am J Psychol","",""
"American Journal of Psychotherapy","Am J Psychother","",""
"American Journal of Public Health","Am J Public Health","",""
"American Journal of Reproductive Immunology","Am J Reprod Immunol","",""
"American Journal of Respiratory Cell and Molecular Biology","Am J Respir Cell Mol Biol","",""
"American Journal of Respiratory and Critical Care Medicine","Am J Respir Crit Care Med","",""
"American Journal of Rhinology","Am J Rhinol","",""
"American Journal of Sports Medicine","Am J Sports Med","",""
"American Journal of Surgery","Am J Surg","",""
"American Journal of Surgical Pathology","Am J Surg Pathol","",""
"American Journal of Tropical Medicine and Hygiene","Am J Trop Med Hyg","",""
"American Journal of Veterinary Research","Am J Vet Res","",""
"American Psychologist","Am Psychol","",""
"American Surgeon","Am Surg","",""
"Anaesthesia","Anaesthesia","",""
"Anaesthesia and Intensive Care","Anaesth Intensive Care","",""
"Anaesthesiologie Und Reanimation","Anaesthesiol Reanim","",""
"Anaesthesist","Anaesthesist","",""
"Anais Da Academia Brasileira de Ciencias","An Acad Bras Cienc","",""
"Anales Espanoles de Pediatria","An Esp Pediatr","",""
"Anales de Medicina Interna","An Med Interna","",""
"Anales Otorrinolaringologicos Iberoamericanos","An Otorrinolaringol Ibero Am","",""
"Anales de la Real Academia Nacional De Medicina","An R Acad Nac Med (Madr)","",""
"Analyst","Analyst","",""
"Analytical Biochemistry","Anal Biochem","",""
"Analytical Cellular Pathology","Anal Cell Pathol","",""
"Analytical Chemistry","Anal Chem","",""
"Analytical and Quantitative Cytology And Histology","Anal Quant Cytol Histol","",""
"Anasthesiologie, Intensivmedizin, Notfallmedizin, SchmerztherapieAnasthesiol Intensivmed Notfallme","Schmerzther","",""
"Anatomia, Histologia, Embryologia","Anat Histol Embryol","",""
"Anatomical Record","Anat Rec","",""
"Anatomischer Anzeiger","Anat Anz","",""
"Anatomy and Embryology","Anat Embryol (Berl)","",""
"Andrologia","Andrologia","",""
"Anesteziologiia I Reanimatologiia","Anesteziol Reanimatol","",""
"Anesthesia and Analgesia","Anesth Analg","",""
"Anesthesiology","Anesthesiology","",""
"Angiology","Angiology","",""
"Angle Orthodontist","Angle Orthod","",""
"Animal Genetics","Anim Genet","",""
"Animal Reproduction Science","Anim Reprod Sci","",""
"Annales Academiae Medicae Stetinensis","Ann Acad Med Stetin","",""
"Annales de Biologie Clinique","Ann Biol Clin (Paris)","",""
"Annales de Cardiologie Et D Angeiologie","Ann Cardiol Angeiol (Paris)","",""
"Annales Chirurgiae Et Gynaecologiae","Ann Chir Gynaecol","",""
"Annales Chirurgiae Et Gynaecologiae. Supplementum","Ann Chir Gynaecol Suppl","",""
"Annales de Chirurgie","Ann Chir","",""
"Annales de Chirurgie De la Main Et Du Membre Superieur","Ann Chir Main Memb Super","",""
"Annales de Chirurgie Plastique Et Esthetique","Ann Chir Plast Esthet","",""
"Annales de Dermatologie Et De Venereologie","Ann Dermatol Venereol","",""
"Annales D Endocrinologie","Ann Endocrinol (Paris)","",""
"Annales Francaises D Anesthesie Et de Reanimation","Ann Fr Anesth Reanim","",""
"Annales de Genetique","Ann Genet","",""
"Annales de Medecine Interne","Ann Med Interne (Paris)","",""
"Annales D Oto-Laryngologie Et de Chirurgie Cervico-Faciale","Ann Otolaryngol Chir Cervicofac","",""
"Annales de Pathologie","Ann Pathol","",""
"Annales Pharmaceutiques Francaises","Ann Pharm Fr","",""
"Annales de Radiologie","Ann Radiol (Paris)","",""
"Annales Universitatis Mariae Curie-Sklodowska. Sectio D, Medicina","Ann Univ Mariae Curie Sklodowska [Med]","",""
"Annales D Urologie","Ann Urol (Paris)","",""
"Annali di Igiene","Ann Ig","",""
"Annali dell Istituto Superiore di Sanita","Ann Ist Super Sanita","",""
"Annali Italiani di Chirurgia","Ann Ital Chir","",""
"Annali Italiani di Medicina Interna","Ann Ital Med Int","",""
"Annals of The Academy Of Medicine, Singapore","Ann Acad Med Singapore","",""
"Annals of Allergy, Asthma, and Immunology","Ann Allergy Asthma Immunol","",""
"Annals of Behavioral Medicine","Ann Behav Med","",""
"Annals of Biomedical Engineering","Ann Biomed Eng","",""
"Annals of Clinical Biochemistry","Ann Clin Biochem","",""
"Annals of Clinical and Laboratory Science","Ann Clin Lab Sci","",""
"Annals of Clinical Psychiatry","Ann Clin Psychiatry","",""
"Annals of Dentistry","Ann Dent","",""
"Annals of Emergency Medicine","Ann Emerg Med","",""
"Annals of Epidemiology","Ann Epidemiol","",""
"Annals of Hematology","Ann Hematol","",""
"Annals of Human Biology","Ann Hum Biol","",""
"Annals of Human Genetics","Ann Hum Genet","",""
"Annals of The Icrp","Ann ICRP","",""
"Annals of Internal Medicine","Ann Intern Med","",""
"Annals of Medicine","Ann Med","",""
"Annals of Neurology","Ann Neurol","",""
"Annals of The New York Academy Of Sciences","Ann N Y Acad Sci","",""
"Annals of Nuclear Medicine","Ann Nucl Med","",""
"Annals of Nutrition and Metabolism","Ann Nutr Metab","",""
"Annals of Occupational Hygiene","Ann Occup Hyg","",""
"Annals of Oncology","Ann Oncol","",""
"Annals of Otology, Rhinology and Laryngology","Ann Otol Rhinol Laryngol","",""
"Annals of Otology, Rhinology, and Laryngology. Supplement","Ann Otol Rhinol Laryngol Suppl","",""
"Annals of Pharmacotherapy","Ann Pharmacother","",""
"Annals of Plastic Surgery","Ann Plast Surg","",""
"Annals of The Rheumatic Diseases","Ann Rheum Dis","",""
"Annals of The Royal College Of Surgeons Of England","Ann R Coll Surg Engl","",""
"Annals of Surgery","Ann Surg","",""
"Annals of Surgical Oncology","Ann Surg Oncol","",""
"Annals of Thoracic Surgery","Ann Thorac Surg","",""
"Annals of Tropical Medicine and Parasitology","Ann Trop Med Parasitol","",""
"Annals of Tropical Paediatrics","Ann Trop Paediatr","",""
"Annals of Vascular Surgery","Ann Vasc Surg","",""
"Annual Review of Biochemistry","Annu Rev Biochem","",""
"Annual Review of Biophysics and Biomolecular Structure","Annu Rev Biophys Biomol Struct","",""
"Annual Review of Cell and Developmental Biology","Ann Rev Cell Dev Biol","",""
"Annual Review of Entomology","Annu Rev Entomol","",""
"Annual Review of Genetics","Annu Rev Genet","",""
"Annual Review of Immunology","Annu Rev Immunol","",""
"Annual Review of Medicine","Annu Rev Med","",""
"Annual Review of Microbiology","Annu Rev Microbiol","",""
"Annual Review of Neuroscience","Annu Rev Neurosci","",""
"Annual Review of Nursing Research","Annu Rev Nurs Res","",""
"Annual Review of Nutrition","Annu Rev Nutr","",""
"Annual Review of Pharmacology and Toxicology","Annu Rev Pharmacol Toxicol","",""
"Annual Review of Physical Chemistry","Annu Rev Phys Chem","",""
"Annual Review of Physiology","Annu Rev Physiol","",""
"Annual Review of Psychology","Annu Rev Psychol","",""
"Annual Review of Public Health","Annu Rev Public Health","",""
"Ans. Advances In Nursing Science","ANS Adv Nurs Sci","",""
"Anthropologischer Anzeiger","Anthropol Anz","",""
"Antibiotics and Chemotherapy","Antibiot Chemother","",""
"Antibiotiki I Khimioterapiia","Antibiot Khimioter","",""
"Anti-Cancer Drug Design","Anticancer Drug Des","",""
"Anti-Cancer Drugs","Anticancer Drugs","",""
"Anticancer Research","Anticancer Res","",""
"Antimicrobial Agents and Chemotherapy","Antimicrob Agents Chemother","",""
"Antisense and Nucleic Acid Drug Development","Antisense Nucleic Acid Drug Dev","",""
"Antiviral Research","Antiviral Res","",""
"Antonie Van Leeuwenhoek","Antonie Van Leeuwenhoek","",""
"Aorn Journal","AORN J","",""
"Apmis","APMIS","",""
"Apmis. Supplementum","APMIS Suppl","",""
"Appetite","Appetite","",""
"Applied Biochemistry and Biotechnology","Appl Biochem Biotechnol","",""
"Applied and Environmental Microbiology","Appl Environ Microbiol","",""
"Applied Ergonomics","Appl Ergon","",""
"Applied Human Science","Appl Human Sci","",""
"Applied Nursing Research","Appl Nurs Res","",""
"Applied Psychophysiology and Biofeedback","Appl Psychophysiol Biofeedback","",""
"Applied Radiation and Isotopes","Appl Radiat Isot","",""
"Applied and Theoretical Electrophoresis","Appl Theor Electrophor","",""
"Arbeiten Aus Dem Paul-Ehrlich-Institut (Bundesamt Fur Sera UndImpfstoffe) Zu Frankfurt A.M. Arb Paul Ehrlich Inst Bundesamt Ser","Impfstoffe Frankf A M","",""
"Archiv Fur Kriminologie","Arch Kriminol","",""
"Archiv Der Pharmazie","Arch Pharm (Weinheim)","",""
"Archiv Fur Psychologie","Arch Psychol (Frankf)","",""
"Archiv Fur Tierernahrung","Arch Tierernahr","",""
"Archives D Anatomie Et de Cytologie Pathologiques","Arch Anat Cytol Pathol","",""
"Archives of Andrology","Arch Androl","",""
"Archives of Biochemistry and Biophysics","Arch Biochem Biophys","",""
"Archives of Dermatological Research","Arch Dermatol Res","",""
"Archives of Dermatology","Arch Dermatol","",""
"Archives of Disease In Childhood","Arch Dis Child","",""
"Archives of Disease In Childhood. Fetal and Neonatal Edition","Arch Dis Child Fetal Neonatal Ed","",""
"Archives of Environmental Contamination and Toxicology","Arch Environ Contam Toxicol","",""
"Archives of Environmental Health","Arch Environ Health","",""
"Archives of Family Medicine","Arch Fam Med","",""
"Archives of General Psychiatry","Arch Gen Psychiatry","",""
"Archives of Gynecology and Obstetrics","Arch Gynecol Obstet","",""
"Archives of Histology and Cytology","Arch Histol Cytol","",""
"Archives of Insect Biochemistry and Physiology","Arch Insect Biochem Physiol","",""
"Archives de L Institut Pasteur D Algerie","Arch Inst Pasteur Alger","",""
"Archives de L Institut Pasteur De Madagascar","Arch Inst Pasteur Madagascar","",""
"Archives de L Institut Pasteur De Tunis","Arch Inst Pasteur Tunis","",""
"Archives of Internal Medicine","Arch Intern Med","",""
"Archives Italiennes de Biologie","Arch Ital Biol","",""
"Archives Des Maladies Du Coeur Et Des Vaisseaux","Arch Mal Coeur Vaiss","",""
"Archives of Medical Research","Arch Med Res","",""
"Archives of Microbiology","Arch Microbiol","",""
"Archives of Neurology","Arch Neurol","",""
"Archives of Ophthalmology","Arch Ophthalmol","",""
"Archives of Oral Biology","Arch Oral Biol","",""
"Archives of Orthopaedic and Trauma Surgery","Arch Orthop Trauma Surg","",""
"Archives of Otolaryngology -- Head and Neck Surgery","Arch Otolaryngol Head Neck Surg","",""
"Archives of Pathology and Laboratory Medicine","Arch Pathol Lab Med","",""
"Archives of Pediatrics and Adolescent Medicine","Arch Pediatr Adolesc Med","",""
"Archives de Pediatrie","Arch Pediatr","",""
"Archives of Physical Medicine and Rehabilitation","Arch Phys Med Rehabil","",""
"Archives of Physiology and Biochemistry","Arch Physiol Biochem","",""
"Archives of Psychiatric Nursing","Arch Psychiatr Nurs","",""
"Archives of Sexual Behavior","Arch Sex Behav","",""
"Archives of Surgery","Arch Surg","",""
"Archives of Toxicology","Arch Toxicol","",""
"Archives of Toxicology. Supplement","Arch Toxicol Suppl","",""
"Archives of Virology","Arch Virol","",""
"Archives of Virology. Supplementum","Arch Virol Suppl","",""
"Archivio Italiano di Urologia, Andrologia","Arch Ital Urol Androl","",""
"Archivos de Bronconeumologia","Arch Bronconeumol","",""
"Archivos Espanoles de Urologia","Arch Esp Urol","",""
"Archivos Del Instituto de Cardiologia De Mexico","Arch Inst Cardiol Mex","",""
"Archivos Latinoamericanos de Nutricion","Arch Latinoam Nutr","",""
"Archivum Immunologiae Et Therapiae Experimentalis","Arch Immunol Ther Exp (Warsz)","",""
"Arerugi. Japanese Journal of Allergology","Arerugi","",""
"Arhiv Za Higijenu Rada I Toksikologiju","Arh Hig Rada Toksikol","",""
"Arkhiv Patologii","Arkh Patol","",""
"Arquivos Brasileiros de Cardiologia","Arq Bras Cardiol","",""
"Arquivos de Gastroenterologia","Arq Gastroenterol","",""
"Arquivos de Neuro-Psiquiatria","Arq Neuropsiquiatr","",""
"Arteriosclerosis, Thrombosis, and Vascular Biology","Arterioscler Thromb Vasc Biol","",""
"Artery","Artery","",""
"Arthritis and Rheumatism","Arthritis Rheum","",""
"Arthroscopy","Arthroscopy","",""
"Artificial Cells, Blood Substitutes, and Immobilization BiotechnologyArtif Cells Blood Substit Immobi","Biotechnol","",""
"Artificial Intelligence In Medicine","Artif Intell Med","",""
"Artificial Life","Artif Life","",""
"Artificial Organs","Artif Organs","",""
"Arzneimittel-Forschung","Arzneimittelforschung","",""
"Asaio Journal","ASAIO J","",""
"Asdc Journal of Dentistry For Children","ASDC J Dent Child","",""
"ASHA","ASHA","",""
"ASHA. Supplement","ASHA Suppl","",""
"Asian Pacific Journal of Allergy and Immunology","Asian Pac J Allergy Immunol","",""
"Asia-Pacific Journal of Public Health","Asia Pac J Public Health","",""
"Atencion Primaria","Aten Primaria","",""
"Atherosclerosis","Atherosclerosis","",""
"Audiology","Audiology","",""
"Audiology and Neuro-Otology","Audiol Neurootol","",""
"Auris, Nasus, Larynx","Auris Nasus Larynx","",""
"Australasian Journal of Dermatology","Australas J Dermatol","",""
"Australasian Physical and Engineering Sciences In Medicine","Australas Phys Eng Sci Med","",""
"Australasian Radiology","Australas Radiol","",""
"Australian Dental Journal","Aust Dent J","",""
"Australian Family Physician","Aust Fam Physician","",""
"Australian Journal of Science and Medicine In Sport","Aust J Sci Med Sport","",""
"Australian and New Zealand Journal of Medicine","Aust N Z J Med","",""
"Australian and New Zealand Journal of Obstetrics And Gynaecology","Aust N Z J Obstet Gynaecol","",""
"Australian and New Zealand Journal of Ophthalmology","Aust N Z J Ophthalmol","",""
"Australian and New Zealand Journal of Psychiatry","Aust N Z J Psychiatry","",""
"Australian and New Zealand Journal of Public Health","Aust N Z J Public Health","",""
"Australian and New Zealand Journal of Surgery","Aust N Z J Surg","",""
"Australian Veterinary Journal","Aust Vet J","",""
"Autoimmunity (Yverdon-Les-Bains","Autoimmunity","",""
