"Archiv für Meteorologie, Geophysik und Bioklimatologie, Serie B","Arch. Meteorol. Geophys. Bioklimatol., Ser. B",""
"Archiv für Naturschutz und Landschaftsforschung","Arch. Nat.schutz Landsch.forsch.",""
"Archivum Societatis Zoologicae Botanicae Fennicae Vanamo","Arch. Soc. Zool. Bot. Fenn. Vanamo",""
"Archäologie der Schweiz","Archäol. Schweiz",""
"Archéologie neuchâteloise","Archéol. neuchâtel.",""
"Arctic Science","Arct. Sci.",""
"Arctic, Antarctic, and Alpine Research","Arct., Antarc., Alp. Res.",""
"Arealstatistik der Schweiz","Arealstat. Schweiz",""
"Arrhythmia & Electrophysiology Review","Arrhythmia Electrophysiol. Rev.",""
"Arzneimittel Forschung","Arzneim. Forsch.",""
"Asia Pacific Journal of Medical Toxicology","Asia Pac. J. Med. Toxicol.",""
"Asian Journal of Atmospheric Environment","Asian J. Atmos. Environ.",""
"Aspects of Homogeneous Catalysis","Aspects Homogeneous Catal.",""
"Astrofizika","Astrofizika",""
"Astronomy & Astrophysics, Supplement Series","Astron. Astrophys., Suppl. Ser.",""
"Astronomy and Computing","Astron. Comput.",""
"Astrophysics and Space Science Transactions","Astrophys. Space Sci. Trans",""
"Atherosclerosis (Shannon, Ireland)","Atherosclerosis (Shannon, Irel.)",""
"Atmospheric Environment, Part A: General Topics","Atmos. Environ., Part A",""
"Atmospheric EnvironmentPart A General Topics","Atmos. Environ. Part A",""
"Atmospheric EnvironmentPart B Urban Atmosphere","Atmos. Environ. Part B",""
"Atmospheric Measurement Techniques Discussions","Atmos. Meas. Tech. Discuss.",""
"Augsburger Ökologische Schriften","Augsbg. Ökol. Schr.",""
"Auk, The","Auk",""
"Australian Geomechanics Journal","Aust. Geomech. J.",""
"Australian Journal of Civil Engineering","Aust. J. Civil Eng.",""
"Australian Journal of Electrical and Electronics Engineering","Aust. J. Electr. Electron. Eng.",""
"Australian Journal of Mechanical Engineering","Aust. J. Mech. Eng.",""
"Australian Journal of Structural Engineering","Aust. J. Struct. Eng.",""
"Australian Journal of Water Resources","Aust. J. Water Resour.",""
"Avicultural Magazine","Avic. Mag.",""
"Avtomaticheskaya Svarka","Avtom. Svarka",""
"BBA Clinical","BBA Clin.",""
"Badener Neujahrsblätter","Baden. Neujahrsbl.",""
"Bandaoti Xuebao","Bandaoti Xuebao",""
"Basler Beiträge zur Geographie","Basl. Beitr. Geogr.",""
"Basler Beiträge zur Geschichtswissenschaft","Basl. Beitr. Gesch.wiss.",""
"Bauhinia","Bauhinia",""
"Behavioural Ecology","Behav. Ecol.",""
"Behavioural Ecology and Sociobiology","Behav. Ecol. Sociobiol.",""
"Beiheft zu Nova Hedwigia","Beih. Nova Hedwigia",""
"Beiheft zu den Annalen der Schweizerischen meteorologischen Anstalt","Beih. Ann. Schweiz. meteorol. Anst.",""
"Beiheft zu den Zeitschriften des Schweiz. Forstvereins","Beih. Z. Schweiz. Forstver.",""
"Beiheft zum Jahrbuch der Schweizerischen naturforschenden Gesellschaft","Beih. Jahrb. Schweiz. nat.forsch. Ges.",""
"Beiheft zur Schweizerischen Zeitschrift für Forstwesen","Beih. Schweiz. Z. Forst.wes.",""
"Beiheft zur Zeitschrift für Mykologie","Beih. Z. Mykol.",""
"Beihefte zum Botanischen Centralblatt","Beih. Bot. Cent.bl.",""
"Beitrage zur Krystallographie und Mineralogie","Beitr. Kryst. Mineral.",""
"Beiträge für Forstwirtschaft und Landschaftsökologie","Beitr. Forstwirtsch. Landsch.ökol.",""
"Beiträge für die Forstwirtschaft","Beitr. Forstwirtsch.",""
"Beiträge zum Naturschutz in der Schweiz","Beitr. Nat.schutz Schweiz",""
"Beiträge zur Avifauna des Rheinlandes","Beitr. Avifauna Rheinl.",""
"Beiträge zur Biologie der Pflanzen","Beitr. Biol. Pflanzen",""
"Beiträge zur Geologie der Schweiz: Hydrologie","Beitr. Geol. Schweiz: Hydrol.",""
"Beiträge zur Hydrologie der Schweiz","Beitr. Hydrol. Schweiz",""
"Beiträge zur Jagd- und Wildforschung","Beitr. Jagd- Wildforsch.",""
"Beiträge zur Kryptogamenflora der Schweiz","Beitr. Kryptogamenflora Schweiz",""
"Beiträge zur geobotanischen Landesaufnahme der Schweiz","Beitr. geobot. Landesaufn. Schweiz",""
"Beiträge zur naturkundlichen Forschung in Südwestdeutschland","Beitr. nat.kdl. Forsch. Südwestdtschl.",""
"Berichte Eidg. Anstalt für das forstliche Versuchswesen","Ber. Eidgenöss. Anst. forstl. Vers.wes.",""
"Berichte Freiburger Forstliche Forschung","Ber. Freibg. Forstl. Forsch.",""
"Berichte aus der Bayerischen Landesanstalt für Wald und Forstwirtschaft","Ber. Bayer. Landesanst. Wald Forstwirtsch.",""
"Berichte der Akademie für Naturschutz und Landschaftspflege","Ber. Akad. Nat.schutz Landsch.pfl.",""
"Berichte der Botanisch-Zoologischen Gesellschaft Liechtenstein- Sargans-Werdenberg","Ber. Bot.-Zool. Ges. Liecht.-Sargans-Werdenberg",""
"Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics","Ber. Bunsen-Ges. Phys. Chem",""
"Berichte der Bunsen-Gesellschaft für Physikalische Chemie","Ber. Bunsen-Ges. Phys. Chem.",""
"Berichte der Eidg. Forschungsanstalt für Wald, Schnee und Landschaft","Ber. Eidgenöss. Forsch.anst. Wald Schnee Landsch.",""
"Berichte der Sankt Gallischen Naturwissenschaftlichen Gesellschaft","Ber. St. Gallen Nat.wiss. Ges.",""
"Berichte der Schwyzerischen Naturforschenden Gesellschaft","Ber. Schwyzerische Nat.forsch. Ges.",""
"Berichte der Versuchsanstalt für Wasserbau, Hydrologie und Glaziologie an der Eidg. Technischen Hochschule Zürich","Ber. Vers.anst. Wasserbau Hydrol. Glaziol. Eidgenöss. Tech. Hochsch. Zür.",""
"Berichte des Bundesamtes für Wasser und Geologie","Ber. Bundesamt Wasser Geol.",""
"Berichte des Deutschen Wetterdienstes","Ber. Dtsch. Wetterd.",""
"Berichte des Forschungszentrums Waldökosysteme","Ber. Forsch.zent. Waldökosyst.",""
"Berichte des Geobotanischen Institutes der Eidg. Technischen Hochschule, Stiftung Rübel","Ber. Geobot. Inst. Eidgenöss. Tech. Hochsch., Stift. Rübel",""
"Berliner Beitraege zur Archaeometrie","Berl. Beitr. Archaeom.",""
"Berliner Geowissenschaftliche Abhandlungen, Reihe A: Geologie und Palaeontologie","Berl. Geowiss. Abh., Reihe A",""
"Berner Wald","Bern. Wald",""
"Berner Zeitschrift für Geschichte und Heimatkunde","Bern. Z. Gesch. Heim.kd.",""
"Berner Zeitung","Bern. Ztg.",""
"Bi-monthly Research Notes","Bi-mon. Res. Notes",""
"Bibliographia Scientiae Naturalis Helvetica","Bibliogr. Sci. Nat. Helv.",""
"Bibliotheca Botanica","Bibl. Bot.",""
"Bibliotheca Mycologica","Bibl. Mycol.",""
"Big Data","Big Data",""
"Big Data Research","Big Data Res.",""
"Bilanz","Bilanz",""
"Bildmessung und Luftbildwesen","Bildmess. Luftbildwes.",""
"BioChemistry (Rajkot, India)","BioChemistry (Rajkot, India)",""
"BioTechnology (Rajkot, India)","BioTechnology (Rajkot, India)",""
"Biochimica et Biophysica Acta, Biophysics Including Photosynthesis","Biochim. Biophys. Acta, Biophys. Incl. Photosynth.",""
"Biochimica et Biophysica Acta, Specialized Section on Biophysical Subjects","Biochim. Biophys. Acta, Spec. Sect. Biophys. Subj.",""
"Biochimica et Biophysica Acta, Specialized Section on Enzymological Subjects","Biochim. Biophys. Acta, Spec. Sect. Enzymol. Subj.",""
"Biochimica et Biophysica Acta, Specialized Section on Lipids and Related Subjects","Biochim. Biophys. Acta, Spec. Sect. Lipids Relat. Subj.",""
"Biodiversity Data Journal","Biodivers. Data J.",""
"Biodiversity Letters","Biodivers. Lett.",""
"Biogeosciences Discussions","Biogeosci. Discuss.",""
"Biokhimiya (Moscow)","Biokhimiya (Moscow)",""
"Biologia Gallo-hellenica","Biol. Gallo-hellenica",""
"Biological Systems: Open Access","Biol. Syst. Open Access",""
"Biologicheskie Nauki (Moscow)","Biol. Nauki (Moscow)",""
"Biologische Rundschau","Biol. Rundsch.",""
"Biomarker Research","Biomarker Res.",""
"Biomass Conversion and Biorefinery","Biomass Convers. Biorefin.",""
"Biomed Research International","Biomed Res. Int.",""
"Biomedical Engineering Letters","Biomed. Eng. Lett.",""
"Biomedical Optics Express","Biomed. Opt. Express",""
"Biomedizinisch Technik","Biomed. Tech.",""
"Biometric Technology Today","Biom. Technol. Today",""
"Biometrie und Informatik in der Biologie und Medizin","Biom. Inform. Biol. Med.",""
"Biomolecular Detection and Quantification","Biomol. Detect. Quantif.",""
"Bioresearch Open Access","Biores. Open Access",""
"Biotechnology Reports","Biotechnol. Rep,",""
"Biotekhnologiya","Biotekhnologiya",""
"Blaue, Die","Blaue",""
"Blätter der Vereinigung Pro Sihltal","Bl. Ver. Pro Sihltal",""
"Bodenkultur, Die","Bodenkultur",""
"Bois et Forêts des Tropiques","Bois For. Trop.",""
"Bolletino della Società Italiana della Scienza del Suolo","Boll. Soc. Italiana Sci. Suolo",""
"Bolletino della Società ticinese di Scienze naturali","Boll. Soc. ticin. Sci. nat.",""
"Bollettino - Societa Italiana di Biologia Sperimentale","Boll.-Soc. Ital. Biol. Sper.",""
"Bonner Zoologische Beiträge","Bonn. Zool. Beitr.",""
"Boreas (Oslo)","Boreas (Oslo)",""
"Botanical Magazine Tokyo","Bot. Mag. Tokyo",""
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie","Bot. Jahrb. Syst. Pflanzengesch. Pflanzengeogr.",""
"Botanische Zeitung","Bot. Ztg.",""
"Botanisches Centralblatt","Bot. Cent.bl.",""
"Brain Connectivity","Brain Connect.",""
"Brenesia","Brenesia",""
"British Archaeological Reports, British Series","Br. Archaeol. Rep., Br. Ser.",""
"British Journal of Medical Practitioners","Br. J. Med. Pract.",""
"Bulletin Bodenkundliche Gesellschaft der Schweiz","Bull. Bodenkd. Ges. Schweiz",""
"Bulletin Forestry Commission","Bull. For. Comm.",""
"Bulletin Geological Society of America","Bull. Geol. Soc. Am.",""
"Bulletin Geological Survey of Canada","Bull. Geol. Surv. Can.",""
"Bulletin Mensuel de la Société Linnéenne de Lyon","Bull. Mens. Soc. Linn. Lyon",""
"Bulletin Peabody Museum of Natural History, Yale University","Bull. Peabody Mus. Nat. Hist., Yale Univ.",""
"Bulletin Suisse de Mycologie","Bull. Suisse Mycol.",""
"Bulletin angewandte Geologie","Bull. angew. Geol.",""
"Bulletin de l'Association pour la Défense des Intérêts du Jura","Bull. Assoc. Déf. Intérêts Jura",""
"Bulletin de la Murithienne","Bull. Murithienne",""
"Bulletin de la Société Botanique de France","Bull. Soc. Bot. Fr.",""
"Bulletin de la Société Géologique de France","Bull. Soc. Géol. Fr.",""
"Bulletin de la Société Vaudoise des sciences naturelles","Bull. Soc. Vaud. sci. nat.",""
"Bulletin de la Société entomologique de France","Bull. Soc. entomol. Fr.",""
"Bulletin de la Société française de photogrammétrie et télédétection","Bull. Soc. fr. photogramm. télédétect.",""
"Bulletin de la Société mycologique de France","Bull. Soc. mycol. Fr.",""
"Bulletin de la Société royale forestière de Belgique","Bull. Soc. r. for. Belg.",""
"Bulletin de la société entomologique Suisse","Bull. soc. entomol. Suisse",""
"Bulletin de la société fribourgeoise des sciences naturelles","Bull. soc. fribg. sci. nat.",""
"Bulletin de la société neuchâteloise des sciences naturelles","Bull. soc. neuchâtel. sci. nat.",""
"Bulletin de vulgarisation forestière","Bull. vulg. for.",""
"Bulletin des recherches agronomiques de Gembloux","Bull. rech. agron. Gembloux",""
"Bulletin du Cercle Vaudois de Botanique","Bull. Cercle Vaudois Bot.",""
"Bulletin d’information Office national des forêts","Bull. inf. Off. natl. for.",""
"Bulletin d’informations techniques","Bull. inf. tech.",""
"Bulletin of Animal Behaviour","Bull. Anim. Behav.",""
"Bulletin of Brewing Science","Bull. Brew. Sci.",""
"Bulletin of the Biogeographical Society of Japan","Bull. Biogeogr. Soc. Jpn.",""
"Bulletin of the British Museum of Natural History, Botany","Bull. Br. Mus. Nat. Hist., Bot.",""
"Bulletin of the British Mycological Society","Bull. Br. Mycol. Soc.",""
"Bulletin of the British Ornithologists’ Club","Bull. Br. Ornithol. Club",""
"Bulletin of the California Agricultural Experiment Station","Bull. Calif. Agric. Exp. Stn.",""
"Bulletin of the Canadian Biochemical Society","Bull. Can. Biochem. Soc.",""
"Bulletin of the Geobotanical Institute ETH","Bull. Geobot. Inst. ETH",""
"Bulletin of the Geological Society of China","Bull. Geol. Soc. China",""
"Bulletin of the International Association of Scientific Hydrology","Bull. Int. Assoc. Sci. Hydrol.",""
"Bulletin of the Polish Academy of Sciences, Chemistry","Bull. Pol. Acad. Sci., Chem.",""
"Bulletin romand d'entomologie","Bull. romand entomol.",""
"Bulletin technique de la Suisse romande","Bull. tech. Suisse romande",""
"Burnout Research","Burnout Res.",""
"Byulleten Eksperimental'noi Biologii i Meditsiny","Byull. Eksp. Biol. Med.",""
"Bündner Monatsblatt","Bündner Mon.bl.",""
"Bündnerwald","Bündnerwald",""
"Bündnerwald, Beiheft","Bündnerwald, Beih.",""
"Bürger im Staat, Der","Bürg. Staat",""
"Cadernos de Ciência e Tecnologia","Cad. Ciênc. Tecnol.",""
"Cahier du Centre technique du bois","Cah. Cent. tech. bois",""
"Cailiao Baohu","Cailiao Baohu",""
"Calorimetrie et Analyse Thermique","Calorim. Anal. Therm.",""
"Canadian Biosystems Engineering","Can. Biosyst. Eng.",""
"Canadian Chemical News","Can. Chem. News",""
"Canadian Society of Forensic Science Journal","Can. Soc. Forensic Sci. J.",""
"Canadian Young Scientist Journal","Can. Young Sci. J.",""
"Cancer Letters (Amsterdam, Netherlands)","Cancer Lett. (Amsterdam, Neth.)",""
"Cancer Letters (Shannon, Ireland)","Cancer Lett. (Shannon, Irel.)",""
"Cardiovascular & Hematological Agents","Cardiovasc. Hematol. Agents",""
"Case Studies in Construction Materials","Case Stud. Constr. Mater.",""
"Case Studies in Engineering Failure Analysis","Case Stud. Eng. Fail. Anal.",""
"Case Studies in Nondestructive Testing and Evaluation","Case Stud. Nondestr.Test. Eval.",""
"Case Studies in Structural Engineering","Case Stud. Struct. Eng.",""
"Case Studies in Transport Policy","Case Stud. Transp. Policy",""
"Catalysis, Structure & Reactivity","Catal. Struct. React.",""
"Cell Discovery","Cell Discovery",""
"Cellular and Molecular Biology (Paris, France, Online)","Cell. Mol. Biol. (Paris, Fr., Online)",""
"Cellular and Molecular Biology (Paris, France, Print)","Cell. Mol. Biol. (Paris, Fr., Print)",""
"Cellular and Molecular Biology (Sarreguemines, France, Online)","Cell. Mol. Biol. (Sarreguemines, Fr., Online)",""
"Cellular and Molecular Biology (Sarreguemines, France, Print)","Cell. Mol. Biol. (Sarreguemines, Fr., Print)",""
"Central European Forests","Cent. Eur. For.",""
"Centralblatt für das gesamte Forstwesen","Cent.bl. gesamte Forstwes.",""
"Ceylon Forester","Ceylon For.",""
"ChemSA","ChemSA",""
"Chemia Analityczna (Warsaw, Poland)","Chem. Anal. (Warsaw, Pol.)",""
"Chemical Engineering Journal (Lausanne)","Chem. Eng. J. (Lausanne)",""
"Chemical Physics Research Journal","Chem. Phys. Res. J.",""
"Chemical and Physical Processes in Combustion","Chem. Phys. Processes Combust.",""
"Chemicky Prumysl","Chem. Prum.",""
"Chemie-Ingenieur-Technik","Chem.-Ing.-Tech.",""
"Chemika Chronika","Chem. Chron.",""
"Chemische Industrie (Duesseldorf)","Chem. Ind. (Duesseldorf)",""
"Chemische Technik (Leipzig)","Chem. Tech. (Leipzig)",""
"Chemistry & Biology (Cambridge, MA, United States)","Chem. Biol. (Cambridge, MA, U. S.)",""
"Chemistry & Industry (London, United Kingdom)","Chem. Ind. (London, U. K.)",""
"Chemistry (Rajkot, India)","Chemistry (Rajkot, India)",""
"Chemistry An Asian Journal","Chem. Asian J.",""
"Chemistry--A European Journal","Chem.--Eur. J.",""
"Chemistry--An Asian Journal","Chem.--Asian J.",""
"Chemotherapy (Tokyo)","Chemotherapy (Tokyo)",""
"Chemtracts: Inorganic Chemistry","Chemtracts: Inorg. Chem.",""
"Chemtracts: Macromolecular Chemistry","Chemtracts: Macromol. Chem.",""
"Chemtracts: Organic Chemistry","Chemtracts: Org. Chem.",""
"Chimica Acta Turcica","Chim. Acta Turc.",""
"Chimie Actualites","Chim. Actual.",""
"Chinese Journal of Geophysics","Chin. J. Geophys.",""
"Chinese Journal of Metal Science & Technology","Chin. J. Met. Sci. Technol.",""
