"Annals of Public and Cooperative Economics","Ann. Public Coop. Econ.","",""
"Annals of Regional Science","Ann. Reg. Sci.","",""
"Annals of the American Academy of Political and Social Science","Ann. Amer. Acad. Polit. Soc. Sci.","",""
"Antitrust Bulletin","Antitrust Bull.","",""
"Antitrust Law and Economics Review","Antitrust Law Econ.","",""
"Applied Economics Letters","Appl. Econ. Letters","",""
"Applied Economics","Appl. Econ.","",""
"Applied Financial Economics","Appl. Finan. Econ.","",""
"Applied Geography and Development","Appl. Geogr. Devel.","",""
"Applied Mathematical Finance","Appl. Math. Finance","",""
"Aquaculture Economics and Management","Aquaculture Econ. Manage.","",""
"Archives of Economic History","Archives Econ. Hist.","",""
"Arquivo do Instituto Gulbenkian de Ciência","Arquivo Inst.","",""
"Artha-Vikas","Artha-Vikas","",""
"Arthaniti","Arthaniti","",""
"ASEAN Economic Bulletin","ASEAN Econ. Bull.","",""
"Asia Pacific Business Review","Asia Pacific Bus. Rev.","",""
"Asia Pacific Journal of Economics and Business","Asia Pacific J. Econ. Bus.","",""
"Asia-Pacific Development Journal","Asia-Pacific Devel. J.","",""
"Asia-Pacific Economic Review","Asia-Pacific Econ. Rev.","",""
"Asia-Pacific Financial Markets","Asia-Pacific Finan. Markets","",""
"Asian Development Review","Asian Devel. Rev.","",""
"Asian Economic Journal","Asian Econ. J.","",""
"Asian Economic Review","Asian Econ. Rev.","",""
"Asian Journal of Agricultural Economics","Asian J. Agr. Econ.","",""
"Asian-Pacific Economic Literature","Asian-Pacific Econ. Lit.","",""
"Atlantic Economic Journal","Atlantic Econ. J.","",""
"Aussenwirtschaft","Aussenwirtschaft","",""
"Australasian Journal of Regional Studies","Australasian J. Reg. Stud.","",""
"Australian Bulletin of Labour","Australian Bull. Lab.","",""
"Australian Commodities Forecasts and Issues","Australian Commodities Forecasts Issues","",""
"Australian Economic History Review","Australian Econ. Hist. Rev.","",""
"Australian Economic Papers","Australian Econ. Pap.","",""
"Australian Economic Review","Australian Econ. Rev.","",""
"Australian Journal of Agricultural and Resource Economics","Australian J. Agr. Resource Econ.","",""
"Australian Journal of Agricultural Economics","Australian J. Agr. Econ.","",""
"Australian Journal of Labour Economics","Australian J. Lab. Econ.","",""
"Australian Journal of Management","Australian J. Manage.","",""
"Australian Tax Forum","Australian Tax Forum","",""
"Banca Nazionale del Lavoro Quarterly Review","Banca Naz. Lavoro Quart. Rev.","",""
"Bancaria","Bancaria","",""
"Banco de España Economic Bulletin","Banco España Econ. Bull.","",""
"Bangladesh Development Studies","Bangladesh Devel. Stud.","",""
"Bangladesh Economic Review","Bangladesh Econ. Rev.","",""
"Bank of England Quarterly Bulletin","Bank Engl. Quart. Bull.","",""
"Bank of Israel Banking Review","Bank Israel Banking Rev.","",""
"Bank of Israel Economic Review","Bank Israel Econ. Rev.","",""
"Bank of Japan Monetary and Economic Studies","Bank Japan Monet. Econ. Stud.","",""
"Bank of Korea Economic Papers","Bank Korea Econ. Pap.","",""
"Bank of Valletta Review","Bank Valletta Rev.","",""
"Banker","Banker","",""
"Behavioral Research in Accounting","Behavioral Res. Acc.","",""
"Bell Journal of Economics","Bell J. Econ.","",""
"Boletin del Musea Social Argentino","Bol. Mus. Soc. Argent.","",""
"Brazilian Electronic Journal of Economics","Brazilian Electronic J. Econ.","",""
"Brazilian Review of Econometrics","Brazilian Rev. Econometrics","",""
"British Journal of Industrial Relations","Brit. J. Ind. Relat.","",""
"British Review of Economic Issues","Brit. Rev. Econ. Issues","",""
"Brookings Papers on Economic Activity","Brookings Pap. Econ. Act.","",""
"Brookings-Wharton Papers on Financial Services","Brookings-Wharton Pap. Finan. Services","",""
"Brookings-Wharton Papers on Urban Affairs","Brookings-Wharton Pap. Urban Aff.","",""
"Buffalo Law Review","Buffalo Law Rev.","",""
"Bulletin for International Fiscal Documentation","Bull. Int. Fiscal Doc.","",""
"Bulletin of Economic Research","Bull. Econ. Res.","",""
"Bulletin of Indonesian Economic Studies","Bull. Indonesian Econ. Stud.","",""
"Bulletin of the Oxford University Institute of Economics and Statistics","Bull. Oxford Univ. Inst. Econ. Statist.","",""
"Bulletin of University of Osaka Prefecture","Bull. Univ. Osaka Prefect.","",""
"Business and Economic History","Bus. Econ. Hist.","",""
"Business Economics","Bus. Econ.","",""
"Business History Review","Bus. Hist. Rev.","",""
"Business History","Bus. Hist.","",""
"Cahiers d'Economie et Sociologie Rurales","Cah. Econ. Sociologie Rurales","",""
"Cahiers d'Economie Politique","Cah. Econ. Politique","",""
"Cahiers Economiques de Bruxelles","Cah. Econ. Bruxelles","",""
"Cahiers Economiques et Sociaux","Cah. Econ. Soc.","",""
"California Management Review","Calif. Manage. Rev.","",""
"Cambridge Economic Policy Review","Cambridge Econ. Pol. Rev.","",""
"Cambridge Journal of Economics","Cambridge J. Econ.","",""
"Canadian Business Economics","Can. Bus. Econ.","",""
"Canadian Journal of Agricultural Economics","Can. J. Agr. Econ.","",""
"Canadian Journal of Development Studies","Can. J. Devel. Stud.","",""
"Canadian Journal of Economics","Can. J. Econ.","",""
"Canadian Journal of Regional Science","Can. J. Reg. Sci.","",""
"Canadian Public Policy","Can. Public Pol.","",""
"Canadian Tax Journal","Can. Tax J.","",""
"Carnegie-Rochester Conference Series on Public Policy","Carnegie-Rochester Conf. Ser. Public Pol.","",""
"Cato Journal","Cato J.","",""
"CEMLA Boletin Mensual","CEMLA Bol. Mens.","",""
"Central European Journal for Operations Research and Economics","Central Europ. J. Operations Res. Econ.","",""
"Central European Journal of Operations Research","Central Europ. J. Operations Res.","",""
"CEPAL Review","CEPAL Rev.","",""
"Challenge","Challenge","",""
"China Economic Review","China Econ. Rev.","",""
"China Quarterly","China Quart.","",""
"Chinese Economic Studies","Chinese Econ. Stud.","",""
"Chinese Economy","Chinese Economy","",""
"CIRIEC-España, Revista de Economía Pública, Social y Cooperativa","CIRIEC-España"," Revista Econ. Pública"," Soc. Cooperativa"
"Cityscape: A Journal of Policy Development and Research","Cityscape: J. Pol. Devel. Res.","",""
"Colección Estudios CIEPLAN","Colección Estud. CIEPLAN","",""
"Columbia Journal of World Business","Columbia J. World Bus.","",""
"Comercio Exterior","Comercio Exterior","",""
"Comertul Modern","Comertul Mod.","",""
"Communications and Strategies","Communications Strategies","",""
"Communist Economies and Economic Transformation","Communist Economies Econ. Transformation","",""
"Comparative Economic Studies","Compar. Econ. Stud.","",""
"Computational Economics","Computational Econ.","",""
"Computer Science in Economics and Management","Computer Sci. Econ. Manage.","",""
"Conflict Management and Peace Science","Conflict Manage. Peace Sci.","",""
"Consommation","Consommation","",""
"Constitutional Political Economy","Constit. Polit. Economy","",""
"Contemporary Economic Policy","Contemporary Econ. Pol.","",""
"Contemporary Policy Issues","Contemp. Pol. Issues","",""
"Contributions to Political Economy","Contrib. to Polit. Economy","",""
"Critical Review","Critic. Rev.","",""
"Cuadernos de Economia","Cuadernos Econ.","",""
"Cuadernos de la C.V.F.","Cuadernos de la C.V.F.","",""
"Cuadernos Economicos de I.C.E.","Cuadernos Econ. I.C.E.","",""
"Cyprus Journal of Economics","Cyprus J. Econ.","",""
"Cyprus Review","Cyprus Rev.","",""
"Czechoslovak Economic Digest","Czech. Econ. Digest.","",""
"Czechoslovak Economic Papers","Czech. Econ. Pap.","",""
"Czechoslovak Journal for Operations Research","Czech. J. Operations Res.","",""
"De Economía","De Economía","",""
"De Economist","De Economist","",""
"Defence and Peace Economics","Defence Peace Econ.","",""
"Defence Economics","Defence Econ.","",""
"Demografía y Economía","Demogr. Econ.","",""
"Demography","Demography","",""
"Der Donaurum","Der Donaurum","",""
"Desarrollo Económico","Desarrollo Econ.","",""
"Developing Economies","Developing Economies","",""
"Development and Change","Devel. Change","",""
"Development Southern Africa","Devel. Southern Africa","",""
"Development","Development","",""
"East African Journal of Rural Development","East African J. Rural Devel.","",""
"East-West Journal of Economics and Business","East-West J. Econ. Bus.","",""
"East-West Series in Economics, Business, and the Environment","East-West Ser. Econ."," Bus."," Environ."
"Eastern Africa Economic Review","Eastern Africa Econ. Rev.","",""
"Eastern Economic Journal","Eastern Econ. J.","",""
"Eastern European Economics","Eastern Europ. Econ.","",""
"Ecological Economics","Ecolog. Econ.","",""
"Económica (National University of La Plata)","Económica (La Plata)","",""
"Economía Chilena","Econ. Chilena","",""
"Econometric Reviews","Econometric Rev.","",""
"Econometric Theory","Econometric Theory","",""
"Econometrica","Econometrica","",""
"Econometrics Journal","Econometrics J.","",""
"Economia (Pontifical Catholic University of Peru)","Economia (Peru)","",""
"Economia (Portuguese Catholic University)","Economia (Portugal)","",""
"Economia Aplicada","Econ. Aplicada","",""
"Brazilian Journal of Applied Economics","Brazilian J. Appl. Econ.","",""
"Economia delle Scelte Pubbliche","Econ. Scelte Pubbliche","",""
"Journal of Public Finance and Public Choice","J. Public Finance Public Choice","",""
"Economia e Lavoro","Econ. Lavoro","",""
"Economia Industrial","Econ. Ind.","",""
"Economia Internazionale","Econ. Int.","",""
"International Economics","Int. Econ.","",""
"Economia Internazionale","Econ. Int.","",""
"Economia Mexicana, Nueva Epoca","Econ. Mexicana"," Nueva Epoca",""
"Economia Politica","Econ. Politica","",""
"Economic Affairs","Econ. Aff.","",""
"Economic Analysis and Policy, New Series","Econ. Anal. Pol."," N.S.",""
"Economic Analysis and Policy","Econ. Anal. Pol.","",""
"Economic Analysis and Workers' Management","Econ. Anal. Workers' Manage.","",""
"Economic Analysis","Econ. Anal.","",""
"Economic and Business Bulletin","Econ. Bus. Bull.","",""
"Economic and Business Review","Econ. Bus. Rev.","",""
"Economic and Financial Modelling","Econ. Finan. Modelling","",""
"Economic and Financial Review","Econ. Finan. Rev.","",""
"Economic and Industrial Democracy","Econ. Ind. Democracy","",""
"Economic and Labour Relations Review","Econ. Lab. Relat. Rev.","",""
"Economic and Social Review","Econ. Soc. Rev.","",""
"Economic Bulletin of Ghana, Second Series","Econ. Bull. Ghana"," 2nd Ser.",""
"Economic Computation and Economic Cybernetics Studies and Research","Econ. Computat. Econ. Cybern. Stud. Res.","",""
"Economic Design","Econ. Design","",""
"Economic Development and Cultural Change","Econ. Devel. Cult. Change","",""
"Economic Development Quarterly","Econ. Devel. Quart.","",""
"Economic Forum","Econ. Forum","",""
"Economic Geography","Econ. Geogr.","",""
"Economic History Review, Second Series","Econ. Hist. Rev."," 2nd Ser.",""
"Economic History Review","Econ. Hist. Rev.","",""
"Economic Inquiry","Econ. Inquiry","",""
"Economic Issues","Econ. Issues","",""
"Economic Journal","Econ. J.","",""
"Economic Modelling","Econ. Modelling","",""
"Economic Notes","Econ. Notes","",""
"Economic Perspectives","Econ. Perspect.","",""
"Economic Policy Review","Econ. Pol. Rev.","",""
"Economic Policy: A European Forum","Econ. Pol.: A Europ. Forum","",""
"Economic Record","Econ. Rec.","",""
"Economic Review (Keizai Kenkyu)","Econ. Rev. (Keizai Kenkyu)","",""
"Economic Studies Quarterly","Econ. Stud. Quart.","",""
"Economic Systems Research","Econ. Systems Res.","",""
"Economic Systems","Econ. Systems","",""
"Economic Theory","Econ. Theory","",""
"Economica, N.S.","Economica"," N.S.",""
"Economica","Economica","",""
"Economics and Business Education","Econ. Bus. Educ.","",""
"Economics and Philosophy","Econ. Philos.","",""
"Economics and Politics","Econ. Politics","",""
"Economics Letters","Econ. Letters","",""
"Economics of Education Review","Econ. Educ. Rev.","",""
"Economics of Governance","Econ. Governance","",""
"Economics of Innovation and New Technology","Econ. Innovation New Tech.","",""
"Economics of Planning","Econ. Planning","",""
"Economics of Transition","Econ. Transition","",""
"Economics: A Biannual Collection of Recent German Studies","Econ.: Biann. Collec. Recent Ger. Stud.","",""
"Economics: The Journal of the Economics Association","Econ.: J. Econ. Assoc.","",""
"Economics","Economics","",""
"Economie Appliquée","Econ. Appl.","",""
"Economie et Prévision","Econ. Prévision","",""
"Economie Internationale","Econ. Int.","",""
"Economie Rurale","Econ. Rurale","",""
"Economies et Sociétés","Econ. Soc.","",""
"Economisch en Sociaal Tijdschrift","Econ. Soc. Tijdschr.","",""
"Economy and History","Economy Hist.","",""
"Economy and Society","Economy Society","",""
"Education Economics","Educ. Econ.","",""
"EIB Papers","EIB Pap.","",""
"Ekonomia","Ekonomia","",""
"Ekonomicko-Matematicky Obzor","Ekon.-Mat. Obzor","",""
"Ekonomika Radvanskoyi Ukhayeny","Ekonomika Radvanskoyi Ukhayeny","",""
"Ekonomiska Samfundets Tidskrift","Ekon. Samfundets Tidskr.","",""
"Ekonomska Istrazivanja","Ekon. Istrazivanja","",""
"Economic Research","Econ. Res.","",""
"Ekonomska Misao i Praksa","Ekon. Misao Praksa","",""
"El Trimestre Economico","Trim. Econ.","",""
"Empirica","Empirica","",""
"Empirical Economics","Empirical Econ.","",""
"Energy Economics","Energy Econ.","",""
"Energy Journal","Energy J.","",""
"Energy Studies Review","Energy Stud. Rev.","",""
"Engineering Economist","Eng. Econ.","",""
"Enterprise and Society","Enterprise Society","",""
"Entrepreneurship and Regional Development","Entrepreneurship Reg. Devel.","",""
"Environment and Development Economics","Environ. Devel. Econ.","",""
"Environment and Planning A","Environ. Planning A","",""
"Environment and Planning C: Government and Policy","Environ. Planning C: Govt. Pol.","",""
"Environmental and Resource Economics","Environ. Resource Econ.","",""
"Environmental Economics and Policy Studies","Environ. Econ. Pol. Stud.","",""
"Environmental Values","Environ. Values","",""
"Estudios de Economia","Estud. de Econ.","",""
"Estudios Económicos","Estud. Econ.","",""
"Estudios Empresariales","Estud. Empresariales","",""
"Estudios Internacionales","Estud. Int.","",""
"Estudos Economicos","Estudos Econ.","",""
"Etudes et Conjoncture","Etud. Conjoncture","",""
"Eurasian Geography and Economics","Eurasian Geogr. Econ.","",""
"EuroChoices","EuroChoices","",""
"European Economic Review","Europ. Econ. Rev.","",""
"European Finance Review","Europ. Finance Rev.","",""
"European Financial Management","Europ. Finan. Manage.","",""
"European Journal of Development Research","Europ. J. Devel. Res.","",""
"European Journal of Finance","Europ. J. Finance","",""
"European Journal of Housing Policy","Europ. J. Housing Pol.","",""
"European Journal of Industrial Relations","Europ. J. Ind. Relat.","",""
"European Journal of International Relations","Europ. J. Int. Relat.","",""
"European Journal of Law and Economics","Europ. J. Law Econ.","",""
"European Journal of Political Economy","Europ. J. Polit. Economy","",""
"European Journal of the History of Economic Thought","Europ. J. Hist. Econ. Thought","",""
"European Review of Agricultural Economics","Europ. Rev. Agr. Econ.","",""
"European Review of Economic History","Europ. Rev. Econ. Hist.","",""
"Experimental Economics","Exper. Econ.","",""
"Explorations in Economic History","Explorations Econ. Hist.","",""
"Family Economics and Nutrition Review","Family Econ. Nutrition Rev.","",""
"Family Economics Review","Family Econ. Rev.","",""
"FDIC Banking Review","FDIC Banking Rev.","",""
"Federal Reserve Bank Business Review of Philadelphia","Fed. Reserve Bank Bus. Rev. Phila.","",""
"Federal Reserve Bank of Atlanta Economic Review","Fed. Reserve Bank Atlanta Econ. Rev.","",""
"Federal Reserve Bank of Atlanta Monthly Review","Fed. Reserve Bank Atlanta Rev.","",""
"Federal Reserve Bank of Boston New England Economic Review","Fed. Reserve Bank Boston New Eng. Econ. Rev.","",""
"Federal Reserve Bank of Chicago Economic Perspectives","Fed. Reserve Bank Chicago Econ. Perspect.","",""
"Federal Reserve Bank of Cleveland Economic Review","Fed. Reserve Bank Cleveland Econ. Rev.","",""
"Federal Reserve Bank of Dallas Economic and Financial Review","Fed. Reserve Bank Dallas Econ. Finan. Rev.","",""
"Federal Reserve Bank of Dallas Economic Review","Fed. Reserve Bank Dallas Econ. Rev.","",""
"Federal Reserve Bank of Kansas City Economic Review","Fed. Reserve Bank Kansas City Econ. Rev.","",""
"Federal Reserve Bank of Kansas City Monthly Review","Fed. Reserve Bank Kansas City Rev.","",""
"Federal Reserve Bank of Minneapolis Quarterly Review","Fed. Reserve Bank Minneapolis Quart. Rev.","",""
"Federal Reserve Bank of New York Economic Policy Review","Fed. Reserve Bank New York Econ. Pol. Rev.","",""
"Federal Reserve Bank of New York Monthly Review","Fed. Reserve Bank New York Rev.","",""
"Federal Reserve Bank of New York Quarterly Review","Fed. Reserve Bank New York Quart. Rev.","",""
"Federal Reserve Bank of Philadelphia Business Review","Fed. Reserve Bank Philadelphia Bus. Rev.","",""
"Federal Reserve Bank of Richmond Economic Quarterly","Fed. Reserve Bank Richmond Econ. Quart.","",""
"Federal Reserve Bank of Richmond Economic Review","Fed. Reserve Bank Richmond Econ. Rev.","",""
"Federal Reserve Bank of San Francisco Economic Review","Fed. Reserve Bank San Francisco Econ. Rev.","",""
"Federal Reserve Bank of San Francisco Monthly Review","Fed. Reserve Bank San Francisco Rev.","",""
"Federal Reserve Bank of St. Louis Review","Fed. Reserve Bank St. Louis Rev.","",""
"Federal Reserve Bulletin","Fed. Reserve Bull.","",""
"Feminist Economics","Feminist Econ.","",""
"Finance a Úver","Finance Úver","",""
"Finance and Development","Finance Devel.","",""
"Finance and Stochastics","Finance Stochastics","",""
"Finance and Trade Review","Finance Trade Rev.","",""
"Finance India","Finance India","",""
"Finance","Finance","",""
"Financial Engineering and the Japanese Markets","Finan. Eng. Japanese Markets","",""
"Financial History Review","Finan. Hist. Rev.","",""
"Financial Industry Studies","Finan. Industry Stud.","",""
"Financial Management","Finan. Manage.","",""
"Financial Markets, Institutions and Instruments","Finan. Markets"," Inst. Instruments",""
"Financial Practice and Education","Finan. Practice Educ.","",""
"Financial Review","Finan. Rev.","",""
"FinanzArchiv","FinanzArch.","",""
"Finnish Economic Papers","Finnish Econ. Pap.","",""
"Fiscal Studies","Fisc. Stud.","",""
"Food Policy","Food Pol.","",""
"Food Research Institute Studies","Food Res. Inst. Stud.","",""
"Foreign Affairs","Foreign Aff.","",""
"Foresight","Foresight","",""
"Forum for Development Studies","Forum Devel. Stud.","",""
"Forum for Social Economics","Forum Soc. Econ.","",""
"Games and Economic Behavior","Games Econ. Behav.","",""
"Geneva Papers on Risk and Insurance Theory","Geneva Pap. Risk Ins. Theory","",""
"Geneva Papers on Risk and Insurance: Issues and Practice","Geneva Pap. Risk Ins.: Issues Practice","",""
"German Economic Review","Ger. Econ. Rev.","",""
"Giornale degli Economisti e Annali di Economia","Giorn. Econ.","",""
"Global Business and Economics Review","Global Bus. Econ. Rev.","",""
"Global Economic Review","Global Econ. Rev.","",""
"Global Economy Quarterly","Global Economy Quart.","",""
"Global Environmental Politics","Global Environ. Politics","",""
"Global Finance Journal","Global Finance J.","",""
"Gospodarstvo Istre","Gospodarstvo Istre","",""
"Greek Economic Review","Greek Econ. Rev.","",""
"Growth and Change","Growth Change","",""
"Harvard Business Review","Harvard Bus. Rev.","",""
"Health Care Management Science","Health Care Manage. Sci.","",""
"Health Economics","Health Econ.","",""
"Health Marketing Quarterly","Health Marketing Quart.","",""
"Health Services Research","Health Services Res.","",""
"Historical Abstracts","Hist. Abstr.","",""
"History of Economic Ideas","Hist. Econ. Ideas","",""
"History of Economics Review","Hist. Econ. Rev.","",""
"History of Political Economy","Hist. Polit. Economy","",""
"Hitotsubashi Journal of Commerce and Management","Hitotsubashi J. Com. Manage.","",""
"Hitotsubashi Journal of Economics","Hitotsubashi J. Econ.","",""
"Hong Kong Economic Papers","Hong Kong Econ. Pap.","",""
"Housing Finance Review","Housing Finance Rev.","",""
"Housing Policy Debate","Housing Pol. Debate","",""
"Housing Studies","Housing Stud.","",""
"Human Resource Development Quarterly","Human Resource Devel. Quart.","",""
"Humanomics","Humanomics","",""
"Ifo Studien","Ifo Studien","",""
"IIUM Journal of Economics and Management","IIUM J. Econ. Manage.","",""
"Il Pensiero Economico Italiano","Il Pensiero Econ. Italiano","",""
"Il Politico","Il Politico","",""
"Il Risparmio","Il Risparmio","",""
"Illinois Agricultural Economics","Ill. Agr. Econ.","",""
"IMF Staff Papers","IMF Staff Pap.","",""
"Impact of Science on Society","Impact Sci. Society","",""
"Independent Review","Independent Rev.","",""
"Indian Economic and Social History Review","Indian Econ. Soc. Hist. Rev.","",""
"Indian Economic Journal","Indian Econ. J.","",""
"Indian Economic Review","Indian Econ. Rev.","",""
"Indian Journal of Applied Economics","Indian J. Appl. Econ.","",""
"Indian Journal of Economics","Indian J. Econ.","",""
"Indian Journal of Gender Studies","Indian J. Gender Stud.","",""
"Indian Journal of Labour Economics","Indian J. Lab. Econ.","",""
"Indian Journal of Quantitative Economics","Indian J. Quant. Econ.","",""
"Indiana Business Review","Indiana Bus. Rev.","",""
"Industrial and Corporate Change","Ind. Corp. Change","",""
"Industrial and Labor Relations Review","Ind. Lab. Relat. Rev.","",""
"Industrial Organization Review","Ind. Organ. Rev.","",""
"Industrial Relations","Ind. Relat.","",""
"Industry and Development","Industry Devel.","",""
"Industry and Innovation","Industry Innovation","",""
"Info","Info","",""
"Informacion Comercial Española Revista de Economia","Info. Comercial Española Revista Econ.","",""
"Information Economics and Policy","Info. Econ. Pol.","",""
"Innovations","Innovations","",""
"Inquiry","Inquiry","",""
"Insurance: Mathematics and Economics","Ins.: Mathematics Econ.","",""
"Integration and Trade","Integration Trade","",""
"Intermountain Economic Review","Intermountain Econ. Rev.","",""
"International Advances in Economic Research","Int. Advances Econ. Res.","",""
"International Contributions to Labour Studies","Int. Contrib. to Lab. Stud.","",""
"International Economic Insights","Int. Econ. Insights","",""
"International Economic Journal","Int. Econ. J.","",""
"International Economic Review","Int. Econ. Rev.","",""
"International Economy","Int. Economy","",""
"International Finance","Int. Finance","",""
"International Game Theory Review","Int. Game Theory Rev.","",""
"International Journal of Applied Economics and Econometrics","Int. J. Appl. Econ. Econometrics","",""
"International Journal of Business","Int. J. Bus.","",""
"International Journal of Finance and Economics","Int. J. Finance Econ.","",""
"International Journal of Forecasting","Int. J. Forecasting","",""
"International Journal of Game Theory","Int. J. Game Theory","",""
"International Journal of Industrial Organization","Int. J. Ind. Organ.","",""
"International Journal of Manpower","Int. J. Manpower","",""
"International Journal of Maritime Economics","Int. J. Maritime Econ.","",""
"International Journal of Production Economics","Int. J. Product. Econ.","",""
"International Journal of Social Economics","Int. J. Soc. Econ.","",""
"International Journal of the Economics of Business","Int. J. Econ. Bus.","",""
"International Journal of Theoretical and Applied Finance","Int. J. Theoretical Appl. Finance","",""
"International Journal of Transport Economics","Int. J. Transport Econ.","",""
"International Journal of Urban and Regional Research","Int. J. Urban Reg. Res.","",""
"International Labour Review","Int. Lab. Rev.","",""
"International Monetary Fund Staff Papers","Int. Monet. Fund Staff Pap.","",""
"International Organization","Int. Organ.","",""
"International Policy Review","Int. Pol. Rev.","",""
"International Regional Science Review","Int. Reg. Sci. Rev.","",""
"International Review of Applied Economics","Int. Rev. Appl. Econ.","",""
"International Review of Economics and Finance","Int. Rev. Econ. Finance","",""
"International Review of Financial Analysis","Int. Rev. Finan. Anal.","",""
"International Review of Law and Economics","Int. Rev. Law Econ.","",""
"International Social Science Journal","Int. Soc. Sci. J.","",""
"International Tax and Public Finance","Int. Tax Public Finance","",""
"International Trade Journal","Int. Trade J.","",""
"Investigación Económica","Investigación Econ.","",""
"Investigaciones Economicas","Investigaciones Econ.","",""
"Investment Policy","Invest. Pol.","",""
"Irish Banking Review","Irish Banking Rev.","",""
"Irish Journal of Agricultural Economics and Rural Sociology","Irish J. Agr. Econ. Rural Sociology","",""
"ISE Review","ISE Rev.","",""
"Islamic Economic Studies","Islamic Econ. Stud.","",""
"Jahrbücher für Nationalökonomie und Statistik","Jahr. Nationalökon. Statist.","",""
"Jahrbuch der Wirtschaft Osteuropas","Jahr. Wirtsch. Osteuropas","",""
"Jahrbuch für Regionalwissenschaft","Jahr. Regionalwissen.","",""
"Review of Regional Research","Rev. Reg. Res.","",""
"Japan and the World Economy","Japan World Economy","",""
"Japan Research Quarterly","Japan Res. Quart.","",""
"Japanese Economic Review","Japanese Econ. Rev.","",""
"Japanese Economic Studies","Japanese Econ. Stud.","",""
"Japanese Economy","Japanese Economy","",""
"Journal for Studies in Economics and Econometrics","J. Stud. Econ. Econometrics","",""
"Journal of Accounting and Economics","J. Acc. Econ.","",""
"Journal of Accounting Research","J. Acc. Res.","",""
"Journal of Accounting, Auditing and Finance","J. Acc."," Aud. Finance",""
"Journal of African Business","J. African Bus.","",""
"Journal of African Economies","J. African Economies","",""
"Journal of African Finance and Economic Development","J. African Finance Econ. Devel.","",""
"Journal of Agricultural and Applied Economics","J. Agr. Appl. Econ.","",""
"Journal of Agricultural and Resource Economics","J. Agr. Resource Econ.","",""
"Journal of Agricultural Economics Research","J. Agr. Econ. Res.","",""
"Journal of Agricultural Economics","J. Agr. Econ.","",""
"Journal of Applied Business Research","J. Appl. Bus. Res.","",""
"Journal of Applied Econometrics","J. Appl. Econometrics","",""
"Journal of Applied Economics","J. Appl. Econ.","",""
"Journal of Applied Statistics","J. Appl. Statist.","",""
"Journal of Asia-Pacific Business","J. Asia-Pacific Bus.","",""
"Journal of Asian Economics","J. Asian Econ.","",""
"Journal of Asian Studies","J. Asian Stud.","",""
"Journal of Australian Political Economy","J. Australian Polit. Economy","",""
"Journal of Bank Research","J. Bank Res.","",""
"Journal of Banking and Finance","J. Banking Finance","",""
"Journal of Behavioral Economics","J. Behavioral Econ.","",""
"Journal of Bioeconomics","J. Bioecon.","",""
"Journal of Business and Economic Statistics","J. Bus. Econ. Statist.","",""
"Journal of Business Research","J. Bus. Res.","",""
"Journal of Business","J. Bus.","",""
"Journal of Common Market Studies","J. Common Market Stud.","",""
"Journal of Comparative Economics","J. Compar. Econ.","",""
"Journal of Conflict Resolution","J. Conflict Resolution","",""
"Journal of Consumer Affairs","J. Cons. Aff.","",""
"Journal of Consumer Policy","J. Cons. Pol.","",""
"Journal of Consumer Research","J. Cons. Res.","",""
