"""Meteor"" Forschungsergebnisse","""Meteor"" Forschungsergeb."
"Journal of Scientific Instruments","J. Sci. Instrum."
"Journal of the Aeronautical Sciences","J. Aeronaut. Sci."
"Journal of the Atmospheric Sciences","J. Atmos. Sci."
"Journal of the Marine Technology Society","J. Mar. Technol. Soc."
"Journal of the Meteorological Society of Japan","J. Meteorol. Soc. Jpn."
"Journal of the Oceanographical Society of Japan","J. Oceanogr. Soc. Jpn."
"Mariners Weather Log","Mar. Wea. Log"
"Meteorological Magazine","Meteorol. Mag."
"Meteorological Monographs","Meteorol. Monogr."
"Meteorologische Rundschau","Meteor. Rundsch."
"Meteorologische Zeitschrift","Meteor. Z."
"Meteorologiya i Gidrologiya","Meteor. Gidrol."
"Meteorology and Atmospheric Physics","Meteorol. Atmos. Phys."
"Monthly Weather Review","Mon. Wea. Rev."
"National Weather Digest","Natl. Wea. Dig."
"Nature","Nature"
"New Zealand Journal of Marine and Freshwater Research","N. Z. J. Mar. Freshwater Res."
"Nuovo Cimento","Nuovo Cimento"
"Oceanography and Meteorology","Oceanogr. Meteorol."
"Papers in Meteorology and Geophysics","Pap. Meteorol. Geophys."
"Papers in Physical Oceanography and Meteorology","Pap. Phys. Oceanogr. Meteorol."
"Philosophical Transactions of the Royal Society of London","Philos. Trans. Roy. Soc. London"
"Physical Review","Phys. Rev."
"Physical Review Letters","Phys. Rev. Lett."
"Physics and Chemistry of the Earth B","Phys. Chem Earth B"
"Physics of Fluids","Phys. Fluids"
"Physikalische Zeitschrift","Phys. Z."
"Proceedings of the Royal Society of London","Proc. Roy. Soc. London"
"Pure and Applied Geophysics","Pure Appl. Geophys."
"Quarterly Journal of the Royal Meteorological Society","Quart. J. Roy. Meteorol. Soc."
"Radio Science","Radio Sci."
"Remote Sensing of the Environment","Remote Sens. Environ."
"Review of Scientific Instruments","Rev. Sci. Instrum."
"Reviews of Geophysics","Rev. Geophys."
"Reviews of Geophysics and Space Physics","Rev. Geophys. Space Phys."
"Revista Meteorologica","Rev. Meteor."
"Revista de Geofisica","Rev. Geofis."
"Science","Science"
"Scientific American","Sci. Amer."
"Space Science Review","Space Sci. Rev."
"Studies in Applied Mathematics","Stud. Appl. Math."
"Tellus","Tellus"
"Theoretical and Applied Climatology","Theor. Appl. Climatol."
"Trudy Geofizicheskogo Instituta, Akademiya Nauk SSSR","Tr. Geofiz. Inst., Akad. Nauk SSSR"
"Trudy Glavnoi Geofizicheskoi Observatorii","Tr. Gl. Geofiz. Obs."
"Water Resources Research","Water Resour. Res."
"Weather","Weather"
"Weather and Forecasting","Wea. Forecasting"
"Weatherwise","Weatherwise"
"World Meteorological Organization Bulletin","WMO Bull."
"Zeitschrift für Meteorologie","Z. Meteor."
