"""Brevia""","Brevia (Rome)"
"Accounts of chemical research","Acc Chem Res"
"Acoustics Australia / Australian Acoustical Society","Acoust Aust"
"Acoustics research letters online : ARLO","Acoust Res Lett Online"
"Acquired immunodeficiency syndrome (AIDS) weekly surveillance report / AIDS Activity, Center for Infectious Diseases, Centers for Disease Control","Acquir Immunodefic Syndr (AIDS) Wkly Surveill Rep"
"Acquisitions medicales recentes","Acquis Med Recent"
"Across the board","Across Board (NY)"
"Acta - Unio Internationalis Contra Cancrum","Acta Unio Int Contra Cancrum"
"Acta Academiae Scientiarum Polonae / Polska Akademia Nauk","Acta Acad Sci Pol"
"Acta Baltica","Acta Balt"
"Acta Belgica de arte medicinali et pharmaceutica militari","Acta Belg Arte Med Pharm Mil"
"Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae","Acta Belg Hist Med"
"Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation","Acta Belg Med Phys"
"Acta Endocrinologica Panamericana","Acta Endocrinol Panam"
"Acta Europaea fertilitatis","Acta Eur Fertil"
"Acta Leidensia","Acta Leiden"
"Acta Manilana","Acta Manila Ser A"
"Acta Musei Napocensis","Acta Mus Napocensis"
"Acta Poloniae historica","Acta Pol Hist"
"Acta Salmanticensia. Filosofia y letras","Acta Salmanticensia Ser Filos Letra"
"Acta Salmanticensia. Historia de la medicina","Acta Salmant Hist Med"
"Acta Scholae Medicinalis Universitatis in Kioto","Acta Sch Med Univ Kioto"
"Acta Societatis Medicorum Upsaliensis","Acta Soc Med Ups"
"Acta Societatis Medicorum Upsaliensis. Supplementum","Acta Soc Med Ups Suppl"
"Acta Universitatis Agriculturae. Facultas agronomica. Vysoka skola zemedelska v Brne. Fakulta agronomicka","Acta Univ Agric Fac Agron"
"Acta Universitatis Carolinae. Geographica. Univerzita Karlova","Acta Univ Carol Geogr"
"Acta Universitatis Carolinae. Historia Universitatis Carolinae Pragensis. Univerzita Karlova","Acta Univ Carol Univerzita Karlov"
"Acta Universitatis Carolinae. Medica","Acta Univ Carol [Med] (Praha)"
"Acta Universitatis Carolinae. Medica. Monographia","Acta Univ Carol Med Monogr"
"Acta Universitatis Carolinae. Philosophica et historica","Acta Univ Carol Philos Hist"
"Acta Universitatis Lundensis. Sectio I, Theologica, juridica, humaniora","Acta Univ Lund"
"Acta Universitatis Palackianae Olomucensis Facultatis Medicae","Acta Univ Palacki Olomuc Fac Med"
"Acta Universitatis Szegediensis de Attila Jozsef Nominatae. Acta juridica et politica","Acta Univ Szeged Attila Jozsef Nominatae"
"Acta Universitatis Upsaliensis. Studia sociologica Upsaliensia","Acta Univ Ups"
"Acta agronomica","Acta Agron"
"Acta allergologica","Acta Allergol"
"Acta allergologica. Supplementum","Acta Allergol Suppl (Copenh)"
"Acta anaesthesiologica","Acta Anaesthesiol"
"Acta anaesthesiologica Belgica","Acta Anaesthesiol Belg"
"Acta anaesthesiologica Scandinavica","Acta Anaesthesiol Scand"
"Acta anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol Scand Suppl"
"Acta anaesthesiologica Sinica","Acta Anaesthesiol Sin"
"Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists","Acta Anaesthesiol Taiwan"
"Acta anaesthesiologica italica","Acta Anaesthesiol Ital"
"Acta anatomica","Acta Anat (Basel)"
"Acta anatomica. Supplementum","Acta Anat Suppl (Basel)"
"Acta anthropogenetica","Acta Anthropogenet"
"Acta antiqua Academiae Scientiarum Hungaricae","Acta Antiq Hung"
"Acta applicandae mathematicae","Acta Appl Math"
"Acta argentina de fisiologia y fisiopatologia","Acta Argent Fisiol Fisiopatol"
"Acta astronautica","Acta Astronaut"
"Acta bio-medica : Atenei Parmensis","Acta Biomed"
"Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma","Acta Biomed Ateneo Parmense"
"Acta biochimica Polonica","Acta Biochim Pol"
"Acta biochimica et biophysica Hungarica","Acta Biochim Biophys Hung"
"Acta biochimica et biophysica Sinica","Acta Biochim Biophys Sin (Shanghai)"
"Acta biochimica et biophysica; Academiae Scientiarum Hungaricae","Acta Biochim Biophys Acad Sci Hung"
"Acta biologiae experimentalis","Acta Biol Exp (Warsz)"
"Acta biologica Academiae Scientiarum Hungaricae","Acta Biol Acad Sci Hung"
"Acta biologica Hungarica","Acta Biol Hung"
"Acta biologica et medica","Acta Biol Med (Gdansk)"
"Acta biologica et medica Germanica","Acta Biol Med Ger"
"Acta biomaterialia","Acta Biomater"
"Acta biotechnologica","Acta Biotechnol"
"Acta biotheoretica","Acta Biotheor"
"Acta botanica Gallica : bulletin de la Societe botanique de France","Acta Bot Gallica"
"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a","Acta Brevia Neerl Physiol Pharmacol Microbiol E A"
"Acta cancerologica","Acta Cancerol (Lima)"
"Acta cardiologica","Acta Cardiol"
"Acta cardiologica. Supplementum","Acta Cardiol Suppl"
"Acta chemica Scandinavica","Acta Chem Scand"
"Acta chemica Scandinavica (Copenhagen, Denmark : 1989)","Acta Chem Scand"
"Acta chemica Scandinavica. Series A: Physical and inorganic chemistry","Acta Chem Scand A"
"Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry","Acta Chem Scand B"
"Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca","Acta Chir Orthop Traumatol Cech"
"Acta chirurgiae plasticae","Acta Chir Plast"
"Acta chirurgica Academiae Scientiarum Hungaricae","Acta Chir Acad Sci Hung"
"Acta chirurgica Belgica","Acta Chir Belg"
"Acta chirurgica Hungarica","Acta Chir Hung"
"Acta chirurgica Italica","Acta Chir Ital"
"Acta chirurgica Iugoslavica","Acta Chir Iugosl"
"Acta chirurgica Patavina","Acta Chir Patav"
"Acta chirurgica Scandinavica","Acta Chir Scand"
"Acta chirurgica Scandinavica. Supplementum","Acta Chir Scand Suppl"
"Acta cientifica venezolana","Acta Cient Venez"
"Acta cirurgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia","Acta Cir Bras"
"Acta classica","Acta Cl"
"Acta clinica Belgica","Acta Clin Belg"
"Acta clinica Belgica. Supplementum","Acta Clin Belg Suppl"
"Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]","Acta Clin Odontol"
"Acta crystallographica","Acta Crystallogr"
"Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography","Acta Crystallogr A"
"Acta crystallographica. Section A, Foundations of crystallography","Acta Crystallogr A"
"Acta crystallographica. Section B, Structural science","Acta Crystallogr B"
"Acta crystallographica. Section B: Structural crystallography and crystal chemistry","Acta Crystallogr B"
"Acta crystallographica. Section C, Crystal structure communications","Acta Crystallogr C"
"Acta crystallographica. Section D, Biological crystallography","Acta Crystallogr D Biol Crystallogr"
"Acta crystallographica. Section E, Structure reports online","Acta Crystallogr Sect E Struct Rep Online"
"Acta crystallographica. Section F, Structural biology and crystallization communications","Acta Crystallogr Sect F Struct Biol Cryst Commun"
"Acta cytologica","Acta Cytol"
"Acta de odontologia pediatrica","Acta Odontol Pediatr"
"Acta demographica","Acta Demogr"
"Acta dermato-venereologica","Acta Derm Venereol"
"Acta dermato-venereologica. Supplementum","Acta Derm Venereol Suppl (Stockh)"
"Acta dermatologica-Kyoto. English edition","Acta Dermatol Kyoto Engl Ed"
"Acta dermatovenerologica Alpina, Panonica, et Adriatica","Acta Dermatovenerol Alp Panonica Adriat"
"Acta dermatovenerologica Croatica : ADC / Hrvatsko dermatolosko drustvo","Acta Dermatovenerol Croat"
"Acta diabetologica","Acta Diabetol"
"Acta diabetologica latina","Acta Diabetol Lat"
"Acta embryologiae et morphologiae experimentalis","Acta Embryol Morphol Exp"
"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")","Acta Embryol Morphol Exp"
"Acta embryologiae experimentalis","Acta Embryol Exp (Palermo)"
"Acta endocrinologica","Acta Endocrinol (Copenh)"
"Acta endocrinologica Iberica","Acta Endocrinol Iber"
"Acta endocrinologica. Supplementum","Acta Endocrinol Suppl (Copenh)"
"Acta endoscopica","Acta Endoscopica"
"Acta ethnologica et linguistica","Acta Ethnol Linguist"
"Acta gastro-enterologica Belgica","Acta Gastroenterol Belg"
"Acta gastroenterologica Latinoamericana","Acta Gastroenterol Latinoam"
"Acta genetica et statistica medica","Acta Genet Stat Med"
"Acta geneticae medicae et gemellologiae","Acta Genet Med Gemellol (Roma)"
"Acta geographica","Acta Geogr"
"Acta geographica Croatica : glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu","Acta Geogr Croat"
"Acta gerontologica","Acta Gerontol (Milano)"
"Acta ginecologica","Acta Ginecol (Madr)"
"Acta gynaecologica et obstetrica Hispano-Lusitana","Acta Gynaecol Obstet Hisp Lusit"
"Acta haematologica","Acta Haematol"
"Acta haematologica Polonica","Acta Haematol Pol"
"Acta hepato-gastroenterologica","Acta Hepatogastroenterol (Stuttg)"
"Acta hepato-splenologica","Acta Hepatosplenol"
"Acta hepatologica","Act Hepato"
"Acta histochemica","Acta Histochem"
"Acta histochemica et cytochemica","Acta Histochem Cytochem"
"Acta histochemica. Supplementband","Acta Histochem Suppl"
"Acta historiae rerum naturalium necnon technicarum. Special issue","Acta Hist Rerum Nat Tech"
"Acta historica Leopoldina","Acta Hist Leopoldina"
"Acta historica medicinae, pharmaciae, veterinae","Acta Hist Med Pharm Vet (Beograd)"
"Acta historica scientiarum naturalium et medicinalium","Acta Hist Sci Nat Med"
"Acta historico-medica vallisoletana. Monografias","Acta Hist Med Vallisoletana Monogr"
"Acta horticulturae","Acta Hortic"
"Acta hospitalia","Acta Hosp"
"Acta iberica radiologica-cancerologica","Acta Iber Radiol Cancerol"
"Acta isotopica","Acta Isot (Padova)"
"Acta leprologica","Acta Leprol"
"Acta medica","Acta Medica Cordoba"
"Acta medica (Hradec Kralove) / Universitas Carolina, Facultas Medica Hradec Kralove","Acta Medica (Hradec Kralove)"
"Acta medica (Hradec Kralove). Supplementum Universitas Carolina, Facultas Medica Hradec Kralove","Acta Medica (Hradec Kralove) Suppl"
"Acta medica Academiae Scientiarum Hungaricae","Acta Med Acad Sci Hung"
"Acta medica Austriaca","Acta Med Austriaca"
"Acta medica Austriaca. Supplement","Acta Med Austriaca Suppl"
"Acta medica Catholica","Acta Med Cathol"
"Acta medica Croatica : casopis Hravatske akademije medicinskih znanosti","Acta Med Croatica"
"Acta medica Hungarica","Acta Med Hung"
"Acta medica Indonesiana","Acta Med Indones"
"Acta medica Iranica","Acta Med Iran"
"Acta medica Italica di malattie infettive e parassitarie","Acta Med Ital Mal Infett Parassit"
"Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia","Acta Med Ital Med Trop Subtrop Gastroenterol"
"Acta medica Iugoslavica","Acta Med Iugosl"
"Acta medica Nagasakiensia","Acta Med Nagasaki"
"Acta medica Okayama","Acta Med Okayama"
"Acta medica Orientalia","Acta Med Orient"
"Acta medica Patavina","Acta Med Patav"
"Acta medica Patavina. Supplemento","Acta Med Patavina Suppl"
"Acta medica Philippina","Acta Med Philipp"
"Acta medica Polona","Acta Med Pol"
"Acta medica Scandinavica","Acta Med Scand"
"Acta medica Scandinavica. Supplementum","Acta Med Scand Suppl"
"Acta medica Vietnamica","Acta Med Vietnam"
"Acta medica auxologica","Acta Med Auxol (Milano)"
"Acta medica colombiana : AMC : organo de la Asociacion Columbiana de Medicina Interna","Acta Med Colomb"
"Acta medica costarricense","Acta Med Costarric"
"Acta medica de Tenerife","Acta Med Tenerife"
"Acta medica del valle","Acta Med Valle"
"Acta medica dominicana : revista cientifica para medicos","Acta Med Dom"
"Acta medica et biologica","Acta Med Biol (Niigata)"
"Acta medica hidalguense","Acta Med Hidalguense"
"Acta medica hispanica","Acta Med Hisp"
"Acta medica portuguesa","Acta Med Port"
"Acta medica romana; annali della Facolta di medicina e chirurgia, Universita cattolica del Sacro Cuore","Acta Med Rom"
"Acta medica veterinaria","Acta Med Vet (Napoli)"
"Acta medicae historiae Patavina","Acta Med Hist Patav"
"Acta medicinae Okayama","Acta Med Okayama"
"Acta medicinae legalis et socialis","Acta Med Leg Soc (Liege)"
"Acta microbiologica Academiae Scientiarum Hungaricae","Acta Microbiol Acad Sci Hung"
"Acta microbiologica Bulgarica","Acta Microbiol Bulg"
"Acta microbiologica Hungarica","Acta Microbiol Hung"
"Acta microbiologica Polonica","Acta Microbiol Pol"
"Acta microbiologica Polonica. Series A: Microbiologia generalis","Acta Microbiol Pol A"
"Acta microbiologica Polonica. Series B: Microbiologia applicata","Acta Microbiol Pol B"
"Acta microbiologica Sinica","Acta Microbiol Sin"
"Acta microbiologica et immunologica Hungarica","Acta Microbiol Immunol Hung"
"Acta microbiologica, virologica et immunologica","Acta Microbiol Virol Immunol (Sofiia)"
"Acta morphologica Academiae Scientiarum Hungaricae","Acta Morphol Acad Sci Hung"
"Acta morphologica Academiae Scientiarum Hungaricae. Supplementum","Acta Morphol Acad Sci Hung Suppl"
"Acta morphologica Hungarica","Acta Morphol Hung"
"Acta morphologica Neerlando-Scandinavica","Acta Morphol Neerl Scand"
"Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology / edited by the Gaetano Conte Academy for the study of striated muscle diseases","Acta Myol"
"Acta neurobiologiae experimentalis","Acta Neurobiol Exp (Wars)"
"Acta neurochirurgica","Acta Neurochir (Wien)"
"Acta neurochirurgica. Supplement","Acta Neurochir Suppl"
"Acta neurochirurgica. Supplementum","Acta Neurochir Suppl (Wien)"
"Acta neurologica","Acta Neurol (Napoli)"
"Acta neurologica Belgica","Acta Neurol Belg"
"Acta neurologica Scandinavica","Acta Neurol Scand"
"Acta neurologica Scandinavica. Supplementum","Acta Neurol Scand Suppl"
"Acta neurologica Taiwanica","Acta Neurol Taiwan"
"Acta neurologica et psychiatrica Belgica","Acta Neurol Psychiatr Belg"
"Acta neurologica latinoamericana","Acta Neurol Latinoam"
"Acta neurologica. Quaderni","Acta Neurol [Quad] (Napoli)"
"Acta neuropathologica","Acta Neuropathol"
"Acta neuropathologica. Supplementum","Acta Neuropathol Suppl"
"Acta neurovegetativa","Acta Neuroveg (Wien)"
"Acta neurovegetativa. Supplementum","Acta Neuroveg Suppl"
"Acta numismatica","Acta Numis"
"Acta obstetrica et gynaecologica Japonica","Acta Obstet Gynaecol Jpn"
"Acta obstetrica y ginecologica hispano-lusitana","Acta Obstet Ginecol Hisp Lusit"
"Acta obstetrica y ginecologica hispano-lusitana. Suplemento","Acta Obstet Ginecol Hisp Lusit Suppl"
"Acta obstetricia et gynecologica Scandinavica","Acta Obstet Gynecol Scand"
"Acta obstetricia et gynecologica Scandinavica. Supplement","Acta Obstet Gynecol Scand Suppl"
"Acta odontologica Scandinavica","Acta Odontol Scand"
"Acta odontologica Scandinavica. Supplementum","Acta Odontol Scand Suppl"
"Acta odontologica latinoamericana : AOL","Acta Odontol Latinoam"
"Acta odontologica venezolana","Acta Odontol Venez"
"Acta of bioengineering and biomechanics / Wroclaw University of Technology","Acta Bioeng Biomech"
"Acta oncologica","Acta Oncol (Madr)"
"Acta oncologica (Stockholm, Sweden)","Acta Oncol"
"Acta ophthalmologica","Acta Ophthalmol (Copenh)"
"Acta ophthalmologica Scandinavica","Acta Ophthalmol Scand"
"Acta ophthalmologica Scandinavica. Supplement","Acta Ophthalmol Scand Suppl"
"Acta ophthalmologica. Supplement","Acta Ophthalmol Suppl"
"Acta ophthalmologica. Supplementum","Acta Ophthalmol Suppl"
"Acta orthopaedica","Acta Orthop"
"Acta orthopaedica Belgica","Acta Orthop Belg"
"Acta orthopaedica Scandinavica","Acta Orthop Scand"
