"Archäologischer Anzeiger","AA"
"Archeologičeskij sbornik. Gosudarstvennyj ordena Lenina Ermitaž","ASbor"
"Archäologie der Schweiz. Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","ASchw"
"Archeologia e società","ASoc"
"Archäologie des Kantons Solothurn","ASoloth"
"Die antiken Sarkophagreliefs","ASR"
"Assaph. Studies in Art History","Assaph"
"Assyriological Miscellanies","AssyrMisc"
"AratirmaSonuçlariToplantisi","AST"
"L'archeologo subacqueo. Quadrimestrale di archeologia subacquea e navale","ASub"
"Archeologia subacquea. Studi, ricerche e documenti","ASubacq"
"Athenaeum. Studi di letteratura e storia dell'antichità","Athenaeum"
"`Atiqot. Journal of the Israel Department of Antiquities","Atiqot"
"`Atiqot. Journal of the Israel Department of Antiquities. Hebrew Series","AtiqotHeb"
"Atlal. The Journal of Saudi Arabian Archaeology","Atlal"
"Atti della Accademia pontaniana","AttiAcPontan"
"Atti della Accademia Roveretana degli Agiati. Contributi della classe di scienze umane, di lettere ed arti","AttiAcRov"
"Atti della Accademia delle scienze di Torino, 2. Classe di scienze morali, storiche e filologiche","AttiAcTorino"
"Atti. Centro ricerche e documentazione sull'antichità classica","AttiCAntCl"
"Atti. Centro studi e documentazione sull'Italia romana","AttiCItRom"
"Atti e memorie. Deputazione di storia patria per le province di Romagna","AttiMemBologna"
"Atti e memorie della Società dalmata di storia patria","AttiMemDal"
"Atti e memorie dell'Academia toscana di scienze e lettere »La Columbaria«","AttiMemFirenze"
"Atti e memorie della Società istriana di archeologia e storia patria","AttiMemIstria"
"Atti e memorie della Società Magna Grecia","AttiMemMagnaGr"
"Atti e memorie. Deputazione di storia patria per le antiche provincie modenesi","AttiMemModena"
"Atti e memorie della Società tiburtina di storia e d'arte","AttiMemTivoli"
"Atti dei Civici musei di storia ed arte di Trieste","AttiMusTrieste"
"Atti della Accademia di scienze, lettere e arti di Palermo","AttiPalermo"
"Atti. Centro di ricerche storiche, Rovigno","AttiRovigno"
"Atti della Società per la preistoria e protostoria della regione Friuli -- Venezia Giulia","AttiSocFriuli"
"Atti. Istituto veneto di scienze, lettere ed arti","AttiVenezia"
"Antike und Abendland","AuA"
"Aula orientalis. Revista de estudios del Próximo Oriente antiguo","AulaOr"
"Ausgrabungen und Funde. Nachrichtenblatt der Landesarchäologie","AusgrFu"
"Ausgrabungen und Funde in Westfalen-Lippe","AusgrFuWestf"
"Pro Austria Romana","AustrRom"
"Archeologia, uomo, territorio. Rivista dei Gruppi archeologici Nord Italia","AUTerr"
"Ausgrabungen in Uruk-Warka. Endberichte","AUWE"
"Archäologische Veröffentlichungen. Deutsches Archäologisches Institut, Abteilung Kairo","AV"
"Archeologia veneta","AVen"
"Arheološki vestnik (Ljubljana)","AVes"
"Archeologia viva","AViva"
"Altertümer von Pergamon","AvP"
"Antike Welt. Zeitschrift für Archäologie und Kulturgeschichte","AW"
"Ayasofia Müzesi yıllığı. Annual of Ayasofya Museum","AyasofyaMuezYil"
"Archäologische Zeitung","AZ"
"Azotea. Revista de cultura del Ayuntamiento de Coria del Río","Azotea"
"Bollettino di archeologia","BA"
"Baalbek. Ergebnisse der Ausgrabungen und Untersuchungen in den Jahren 1898 bis 1905","Baalbek"
"Bulletin d'archéologie algérienne","BAAlger"
"Butlletí informatiu de l'Institut de prehistòria i arqueologia de la Diputació provincial de Barcelona","BABarcel"
"Bulletin antieke beschaving. Annual Papers on Classical Archaeology","BABesch"
"Boletín de la Real academia de la historia","BAcRHist"
"Bulletin de la Société d'archéologie copte","BACopt"
"Badische Fundberichte","BadFuBer"
"Baetica. Estudios de arte, geografía e historia","Baetica"
"Baghdader Forschungen","BaF"
"Balácai közlemények","BalacaiKoez"
"Balkan Studies","BalkSt"
"Bulletin of the Institute of Archaeology, University of London","BALond"
"Bulletin d'archéologie luxembourgeoise","BALux"
"Baghdader Mitteilungen","BaM"
"Bulletin d'archéologie marocaine","BAMaroc"
"The Bulletin of the American Society of Papyrologists","BAmSocP"
"Bulletin of the Ancient Orient Museum (Tokyo)","BAncOrMus"
"Bulletin du Centre de recherches et d'enseignement de l'antiquité, Angers","BAngers"
"Bulletin of the Anglo-Israel Archaeological Society","BAngloIsrASoc"
"Bollettino annuale. Musei ferraresi","BAnnMusFerr"
"Bulletin de la Société nationale des antiquaires de France","BAntFr"
"Bulletin des antiquités luxembourgeoises","BAntLux"
"Bulletin archéologique du Comité des travaux historiques et scientifiques. Antiquités nationales","BAParis"
"Bulletin archéologique de Provence","BAProv"
"British Archaeological Reports. British Series","BAR"
"Bulletin. Société archéologique d'Alexandrie","BArchAlex"
"Bollettino del Centro di studi per la storia dell'architettura","BArchit"
"British Archaeological Reports. International Series","BARIntSer"
"Nuovo bullettino archeologico sardo","BASard"
"Boletín. Asociación española de amigos de la arqueología","BAsEspA"
"Bulletin of the Asia Institute","BAsInst"
"Bulletin of the American Schools of Oriental Research","BASOR"
"Bulletin de l'Association Guillaume Budé","BAssBude"
"Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique","BAssMosAnt"
"Bollettino di archeologia subacquea","BASub"
"Bulletin d'archéologie sud-est européenne","BASudEstEur"
"Bulletí arqueològic. Reial societat arqueològica tarraconense. Boletín arqueológico. Real sociedad arqueológica tarragonese","BATarr"
"Boletín auriense","BAur"
"Beiträge zur Allgemeinen und Vergleichenden Archäologie","BAVA"
"Bayerische Vorgeschichtsblätter","BayVgBl"
"Bollettino storico della Basilicata","BBasil"
"Bulletin de l'Institut historique belge de Rome","BBelgRom"
"Bollettino di studi e ricerche. Biblioteca comunale di Bolsena","BBolsena"
"Bulletin of British Byzantine Studies","BBrByzSt"
"Bullettino del Centro Camuno di studi preistorici","BCamuno"
"Beni culturali e ambientali. Sicilia","BCASic"
"Bulletin du Cercle d'études numismatiques","BCercleNum"
"Bulletin de correspondance hellénique","BCH"
"Bollettino del Circolo numismatico napoletano","BCircNumNap"
"Bollettino dei classici","BCl"
"The Bulletin of The Cleveland Museum of Art","BClevMus"
"Bullettino della Commissione archeologica comunale di Roma","BCom"
"Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique","BCord"
"Bollettino d'arte","BdA"
"Bibliothèque d'études, Institut français d'archéologie orientale, Kairo","BdE"
"Bibliothèque d'études coptes, Institut français d'archéologie orientale, Kairo","BdEC"
"Bullettino dell'Instituto di corrispondenza archeologica","BdI"
"Bullettino dell'Istituto di diritto romano »Vittorio Scialoja«","BDirRom"
"T. H. Carpenter (Hrsg.), Beazley Addenda \textsuperscript{2}(Oxford 1989)","BeazleyAddenda2"
"J. D. Beazley, Paralipomena. Additions to Attic Black-figure Vase-painters and to Attic Red-figure Vase-painters (Oxford 1971)","BeazleyPara."
"Bulletin (annuel) de l'École antique de Nîmes","BEcAntNimes"
"Bedi Kartlisa. Revue de kartvélologie","BediKart"
"Bibliothèque des Écoles françaises d'Athènes et de Rome","BEFAR"
"Beiträge zur Erschließung hellenistischer und kaiserzeitlicher Skulptur und Architektur","BeitrESkAr"
"Beiträge zur Namenforschung","BeitrNamF"
"Beiträge zur Sudanforschung","BeitrSudanF"
"Bellas artes (Madrid)","BelArt"
"Belleten. Türk Tarih Kurumu","Belleten"
"Benàcus. Museo archeologico della Val Tenesi","Benacus"
"Bericht der Bayerischen Bodendenkmalpflege","BerBayDenkmPfl"
"Bericht der Deutschen Forschungsgemeinschaft","BerDFG"
"Berliner Beiträge zur Archäometrie","BerlBeitrArchaeom"
"Berliner Blätter für Vor- und Frühgeschichte","BerlBlVFruehGesch"
"Berliner Jahrbuch für Vor- und Frühgeschichte","BerlJbVFruehGesch"
"Berliner Museen","BerlMus"
"Berliner numismatische Zeitschrift","BerlNumZ"
"Berichten van de Rijksdienst voor het oudheidkundig bodemonderzoek","BerOudhBod"
"Bericht der Römisch-Germanischen Kommission","BerRGK"
"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig","BerVerhLeipz"
"Berytus. Archaeological Studies","Berytus"
"Boletín. Asociación española de amigos de la arqueología","BEspA"
"Boletín de la Asociación española de orientalistas","BEspOr"
"Bulletin d'études orientales","BEtOr"
"Bollettino dell'Istituto di filologia greca, Università di Padova","BFilGrPadova"
"Bollettino. Centro di studi filologici e linguistici siciliani","BFilLingSic"
"Bollettino flegreo. Rivista di storia, arte e scienze","BFlegr"
"Bollettino storico della città di Foligno","BFoligno"
"Harvard University Art Museums Bulletin","BHarvMus"
"Bollettino dell'Associazione Iasos di Caria","BIasos"
"The Biblical Archaeologist. The American School of Oriental Research New Haven","BibAr"
"Bibliotheca classica orientalis","BiblClOr"
"Bibliographie zur Symbolik, Ikonographie und Mythologie. Internationales Referateorgan","BiblSymb"
"Izvestija na Archeologičeskija institut. Bulletin de l’Institut d’archéologie","BIBulg"
"Bulletin of the Institute of Classical Studies of the University of London","BICS"
"Bulletin de l'Institut français d'archéologie orientale","BIFAO"
"Bollettino di informazioni. Associazione archeologica Centumcellae","BInfCentumcellae"
"Bollettino di informazioni del Centro di studi e documentazione sull'area elima","BInfCESDAE"
"Biogradski zbornik","BiogrZbor"
"Bibliotheca orientalis","BiOr"
"Bollettino dell'Istituto storico artistico orvietano","BIstOrvieto"
"Boletín del Instituto de estudios giennenses","BJaen"
"Bonner Jahrbücher des Rheinischen Landesmuseums in Bonn","BJb"
"Bulletin. The Hebrew University, Jerusalem, Rabinowitz Fund","BJerus"
"Bulletin du laboratoire du Musée du Louvre","BLaborMusLouvre"
"Bollettino dell'Istituto di storia e di arte del Lazio meridionale","BLazioMerid"
"Bulletin Razreda za likovne umjetnosti Hrvatske akademije znanosti i umjetnosti","BLikUm"
"Blätter für Münzfreunde und Münzforschung","BlMueFreundeF"
"Boletín de la Comisión provincial de monumentos históricos y artísticos de Lugo","BLugo"
"Catalogue of the Greek Coins in the British Museums","BMCGreekCoins"
"Catalogue of Oriental Coins in the British Museum I--X","BMCOR"
"H. Mattingly (u. a.), Coins of the Roman Empire in the British Museum (London 1923--1950","BMCRE"
"H. A. Grueber, Coins of the Roman Republic in the British Museum I--III (London 1910)","BMCRRI-III"
"The Metropolitan Museum of Art Bulletin","BMetrMus"
"Bulletin monumental","BMon"
"Bollettino. Monumenti, musei e gallerie pontificie","BMonMusPont"
"The British Museum Quarterly","BMQ"
"The British Museum Quarterly. News Supplement","BMQNSuppl"
"Bulletin du Musée de Beyrouth","BMusBeyrouth"
"Bulletin des Musées royaux d'art et d'histoire, Bruxelles","BMusBrux"
"Boletín del Museo de Cádiz","BMusCadiz"
