"WORDS";"ABBREVIATIONS";"LANGUAGES"
"-mittaus";"n.a.";"fin"
"-mittel";"-m.";"ger"
"-mobil";"-mob.";"eng"
"-mutató";"-mut.";"hun"
"-nämnd";"-n.";"swe"
"-nap";"-n.";"hun"
"-nützig-";"-nütz.";"ger"
"-nyttig";"-nytt.";"dan"
"-osztás";"-oszt.";"hun"
"-paatos";"-paat.";"fin"
"-pädagogik";"-pädag.";"ger"
"-pedagog-";"-pedag.";"mul"
"-pedagoog-";"-pedag.";"est"
"-pflege";"-pfl.";"ger"
"-pfleger";"-pfl.";"ger"
"-pflichtig";"-pflicht.";"ger"
"-phas-";"-ph.";"fre, eng"
"-plads-";"-pl.";"dan"
"-plane";"-pl.";"eng"
"-planung";"-plan.";"ger"
"-polis";"-p.";"mul"
"-prämierung";"-präm.";"ger"
"-preis";"-pr.";"ger"
"-program";"-progr.";"hun"
"-programm";"-progr.";"ger"
"-prøver";"-prøv.";"dan"
"-punkt";"-pkt.";"ger"
"-rajz";"-r.";"hun"
"-recht";"-r.";"ger"
"-reihe";"-r.";"ger"
"-rendez-";"-rend.";"hun"
"-seura";"-s.";"fin"
"-sfer";"-s.";"rus"
"-ship";"-sh.";"eng"
"-shire";"-sh.";"eng"
"-šinosi";"-šin.";
"-složen-";"-slož.";"rus"
"-slutning";"-slut.";"dan"
"-sokeri";"-sok.";"fin"
"-sopimus";"-sop.";"fin"
"-space";"-sp.";"eng"
"-sphère";"-sph.";"fre"
"-spraak";"-spr.";"dut"
"-sprache";"-spr.";"ger"
"-sprachig";"-spr.";"ger"
"-sprog";"-spr.";"dan"
"-stelle";"n.a.";"ger"
"-stig-";"-stig.";"ice"
"-stoff";"-st.";"ger"
"-streek";"-str.";"dut"
"-stroenie";"-str.";"rus"
"-stuff";"-st.";"eng"
"-tábor";"-táb.";"hun"
"-taito";"n.a.";"fin"
"-tanu";"-t.";"kaz"
"-taudit";"n.a.";"fin"
"-tauti";"n.a.";"fin"
"-teadus";"-t.";"est"
"-technisch";"-tech.";"ger"
"-teelt-";"-t.";"dut"
"-teil";"-tl.";"ger"
"-térítés";"-térít.";"hun"
"-þjónusta";"-þjón.";"ice"
"-tiede";"-t.";"fin"
"-tillade-";"-tillad.";"dan"
"-tjener";"-tj.";"dan"
"-ton";"-t.";"eng"
"-town";"-t.";"eng"
"-tulos";"n.a.";"fin"
"-untergruppe";"-untergr.";"ger"
"-unterricht";"-unterr.";"ger"
"-værende";"-vær.";"dan"
"-væsen";"-væs.";"dan, swe"
"-valtuusto";"n.a.";"fin"
"-verk";"-v.";"swe"
"-vermögen";"-vermög.";"ger"
"-vesen";"-ves.";"nor"
"-ville";"-v.";"fre, eng"
"-visel-";"-vis.";"hun"
"-vizuális";"-v.";"hun"
"-vodstvo";"-vod.";"rus"
"-vonal";"-v.";"hun"
"-vuosi";"-v.";"fin"
"-way";"-w.";"eng"
"-weise";"-w.";"ger"
"-werk";"-w.";"ger"
"-wesen";"-wes.";"ger"
"-wissenschaft";"-wiss.";"eng"
"-yhtiö";"-y.";"fin"
"-yksikkö";"-yks.";"fin"
"-yritys";"-yrit.";"fin"
"-znanie";"-zn.";"rus"
"-znavstvo    ";"-zn.";"ukr"
"A Coruña";"n.a.";"glg"
"Aabenraa";"n.a.";"dan"
"Aachen";"n.a.";"ger"
"Aachener";"Aachen.";"ger"
"aakkos-";"aakkos.";"fin"
"Aalborg";"Aalb.";"dan"
"Aalener";"Aalen.";"ger"
"Aalestrup";"n.a.";"dan"
"Aalesund";"n.a.";"dut"
"aalmoezeniers";"aalmoez.";"dut"
"Aalsmeer";"n.a.";"dut"
"Aalsmeerder";"n.a.";"dut"
"aanbesteding";"aanbested.";"dut"
"aanbeveling-";"aanbevel.";"dut"
"aanbiedingslijst";"aanbiedingsl.";"dut"
"aanbod";"n.a.";"dut"
"aandachtsgebied";"aandachtsgeb.";"dut"
"aandeelhouder-";"aandeelh.";"dut"
"aandel-";"aandel.";"dut"
"aandoening-";"aandoen.";"dut"
"aandrijven";"aandr.";"dut"
"aandsvag-";"aandsv.";"nor"
"äänenkannattaja";"äänenkannatt.";"fin"
"aangelegenh-";"aangelegenh.";"dut"
"aangenom-";"aangen.";"dut"
"aangepast";"n.a.";"dut"
"aangift-";"n.a.";"dut"
"aangrenzend";"n.a.";"dut"
"aanhangsel";"n.a.";"dut"
"aanhangwagen";"n.a.";"dut"
"aanhouden-";"aanhoud.";"dut"
"äänit-";"n.a.";"fin"
"äänitluettelo";"äänitluett.";"fin"
"aankomende";"aankom.";"dut"
"aankoopgids";"n.a.";"dut"
"aanleid-";"aanleid.";"dut"
"aanneemouer";"n.a.";"afr"
"aannemer-";"aannem.";"dut"
"aanneming-";"aannem.";"dut"
"aanschaf";"n.a.";"dut"
"aanschafinformatie";"aanschafinf.";"dut"
"aanslagregeling";"aanslagregel.";"dut"
"aansluiten-";"aansluit.";"dut"
"aansprakelijkheid";"aansprakelijkh.";"dut"
"aantal";"n.a.";"dut"
"aanteekening-";"aanteek.";"dut"
"aantekenlijst";"aantekenl.";"dut"
"aantekenstrookjesverzamelaar";"aantekenstrookjesverzamel.";"dut"
"aanverwant-";"aanverw.";"dut"
"aanvullend";"n.a.";"dut"
"aanvullingsblad";"aanvullingsbl.";"dut"
"aanwending";"aanwend.";"afr"
"aanwinsten";"n.a.";"dut"
"aanwinstenlijst";"aanwinstenl.";"dut"
"aanwyser";"aanwys.";"afr"
"aapinen";"n.a.";"fin"
"aarbog";"aarb.";"nor"
"aarbok";"aarb.";"nor"
"aardappel";"n.a.";"dut"
"aardappelen";"n.a.";"dut"
"aardappelrassen";"n.a.";"dut"
"aardappelverwerking-";"aardappelverwerk.";"dut"
"aardewerk";"n.a.";"dut"
"aardgas";"n.a.";"dut"
"aardkundig-";"aardkd.";"dut"
"aardmagnet-";"aardmagn.";"dut"
"aardolie";"n.a.";"dut"
"aardrijkskund-";"aardrijkskd.";"dut"
"aargauisch-";"aargau.";"ger"
"åarjel";"n.a.";"nor"
"aarni-";"n.a.";"fin"
"aarsberaettelse";"aarsberaett.";"swe"
"aarsberetning";"aarsberet.";"nor"
"aarsbok";"aarsb.";"swe"
"aartrijke";"n.a.";"dut"
"aartsbisdom";"n.a.";"dut"
"aastaaruanne";"aastaaruan.";"est"
"aastaraam-";"aastaraam.";"est"
"Abacus";"n.a.";"eng"
"abadia";"n.a.";"cat"
"abalone";"n.a.";"eng"
"abandon-";"abandon.";"fre"
"abast";"n.a.";"cat"
"abastecimento";"abast.";"por"
"abasto";"n.a.";"spa"
"abastu̢mn-";"n.a.";"geo"
"abatement";"abat.";"eng"
"abatido";"abat.";"por"
"abattoir";"n.a.";"fre"
"abattre";"n.a.";"fre"
"abbasid";"n.a.";"eng"
"abbaye";"n.a.";"fre"
"Abbekerk";"n.a.";"dut"
"Abbenes";"n.a.";"dut"
"abbey";"n.a.";"eng"
"abbigliamento";"abbigl.";"ita"
"Abbildung-";"Abbild.";"ger"
"abbreviation";"abbr.";"eng"
"Abcoude";"n.a.";"dut"
"abdērit-";"abdēr.";"gre"
"Abdichtung";"Abdicht.";"ger"
"abdominal";"abdom.";"fre, eng"
"Abdruck";"Abdr.";"ger"
"abdrucken";"abdr.";"ger"
"abeced-";"abeced.";"hrv"
"abeceda";"n.a.";"slo"
"abécédaire";"abécéd.";"fre"
"abeille";"n.a.";"fre"
"abeja";"n.a.";"spa"
"Abenberg-";"Abenb.";"ger"
"Abend";"n.a.";"ger"
"Abendland";"Abendl.";"ger"
"Abendpost";"n.a.";"ger"
"Abensberg";"Abensb.";"ger"
"Abenteuer";"Abent.";"ger"
"Abenteuerliche";"Abenteuerl.";"ger"
"Abenzoare";"n.a.";"spa"
"Abeokuta";"Abeok.";"eng"
"Abercrombie";"n.a.";"eng"
"Aberdeen";"Aberd.";"eng"
"Aberglaube";"n.a.";"ger"
"aberto";"n.a.";"por"
"Aberystwyth";"n.a.";"eng"
"Abfall";"n.a.";"ger"
"Abfallaufbereitung-";"Abfallaufbereit.";"ger"
"Abfallbehandlung";"Abfallbehandl.";"ger"
"Abfallbeseitig-";"Abfallbeseit.";"ger"
"Abfallrecht";"Abfallr.";"ger"
"Abfallstoff-";"Abfallst.";"ger"
"Abfalltechni-";"Abfalltech.";"ger"
"abfallverwertung";"abfallverwert.";"ger"
"Abfallwirtschaft-";"Abfallwirtsch.";"ger"
"Abgabenordnung-";"Abgabenordn.";"ger"
"Abgasbelastung";"Abgasbelast.";"ger"
"Abgassonderuntersuch-";"Abgassonderunters.";"ger"
"abgedruckt";"abgedr.";"ger"
"abgelauf-";"abgelauf.";"ger"
"Abgeordnete";"Abgeordn.";"ger"
"abgeschlossen-";"abgeschloss.";"ger"
"abgeurteilt-";"n.a.";"ger"
"Abhandlung-";"Abh.";"ger"
"abhor-";"abhor.";"mul"
"abiding";"abid.";"eng"
"Abidjan";"Abidj.";"fre"
"abiert-";"n.a.";"spa"
"abietta";"n.a.";"eng"
"abilit-";"abil.";"eng"
"abimees";"n.a.";"est"
"Abington";"Abingt.";"eng"
"abismo";"n.a.";"spa"
"abitare";"abit.";"ita"
"abitato";"n.a.";"ita"
"abitibien";"abitib.";"fre"
"abitöötmisala-";"abitöötmisala.";"est"
"abiturient-";"abitur.";"fin"
"Abixedarian";"n.a.";"eng"
"Abkommen";"Abkomm.";"ger"
"Abkürzung";"Abkürz.";"ger"
"Ablauf";"n.a.";"ger"
"Ablieferung";"Ablief.";"ger"
"Abluft";"n.a.";"ger"
"abmotičesk-";"abmotič.";"rus"
"abnégation";"abnég.";"fre"
"abnorm";"n.a.";"dan"
"abnormal-";"abnorm.";"eng"
"abode";"n.a.";"eng"
"aboensis";"abo.";"lat"
"abogacía";"abog.";"spa"
"abogado";"abog.";"spa"
"åboländsk";"åbol.";"swe"
"abolition";"abolit.";"mul"
"abonn-";"abonn.";"fre"
"abono";"n.a.";"spa"
"abordable";"abord.";"fre"
"abordaje";"n.a.";"spa"
"aborig-";"aborig.";"fre, eng"
"abort-";"abort.";"eng"
"Abprodukt-";"Abprod.";"ger"
"ábrafüzet";"ábrafüz.";"hun"
"abrasive";"abras.";"eng"
"abrazivnyj";"abraz.";"rus"
"ábrázol-";"ábráz.";"hun"
"abreast";"n.a.";"eng"
"Abrechnung-";"Abrechn.";"ger"
"abrég-";"abr.";"fre"
"Abreisskalender";"Abreisskal.";"ger"
"abrêtier";"n.a.";"fre"
"abrevia-";"abr.";"spa"
"abréviation";"abr.";"fre"
"abridged";"abr.";"eng"
"abridgment";"abr.";"eng"
"abriendo";"n.a.";"spa"
"Abriss";"n.a.";"ger"
"abroad";"n.a.";"eng"
"Abrüstung";"Abrüst.";"ger"
"abruzz-";"abruzz.";"ita"
"Absatzfrage";"Absatzfr.";"ger"
"Absatzgebiet";"Absatzgeb.";"ger"
"Absatzgrössenklasse";"Absatzgrössenkl.";"ger"
"Absatzländer";"n.a.";"ger"
"Absatzverhältnis";"Absatzverhält.";"ger"
"Absatzwege";"n.a.";"ger"
"Absatzwirtschaft";"Absatzwirtsch.";"ger"
"absatzwirtschaftlich";"absatzwirtsch.";"ger"
"abscence";"n.a.";"mul"
"Abschätzung";"Abschätz.";"ger"
"Abscheideleistung-";"Abscheideleist.";"ger"
"Abscheider";"Abscheid.";"ger"
"Abschied";"n.a.";"ger"
"Abschluss";"Abschl.";"ger"
"Abschnitt";"Abschn.";"ger"
"Abschrift";"Abschr.";"ger"
"absent";"n.a.";"dut"
"absenteism";"absent.";"eng"
"absentéisme";"absent.";"fre"
"Absicht";"n.a.";"ger"
"absolu";"n.a.";"fre"
"absolût-";"absol.";"rus, mul"
"Absolvent-";"Absolv.";"ger"
"absolwent";"absolw.";"pol"
"absorbci-";"absorbc.";"rus"
"absorption";"absorpt.";"eng, fre"
"Abstammung";"Abstamm.";"ger"
"abstinence";"abstin.";"eng, fre"
"abstracc-";"abstr.";"spa"
"abstract-";"abstr.";"fre, eng"
"abstrak";"abstr.";"ind"
"absurdo";"n.a.";"spa"
"absurdum";"n.a.";"lat"
"Abteilung-";"Abt.";"ger"
"abtragen";"abtrag.";"ger"
"abuelo";"n.a.";"spa"
"Abuja";"n.a.";"eng"
"abulense";"n.a.";"spa"
"abundant-";"abund.";"eng"
"abus-";"abus.";"eng, fre"
"Abwärmekommission";"Abwärmekomm.";"ger"
"Abwärmeverwertung";"Abwärmeverwert.";"ger"
"Abwasser";"n.a.";"ger"
"Abwasseranalyt-";"Abwasseranal.";"ger"
"Abwasserbehandlung-";"Abwasserbehandl.";"ger"
"Abwasserbeseitigung";"Abwasserbeseit.";"ger"
"Abwasserbodenhandlung-";"Abwasserbodenhandl.";"ger"
"Abwassereinleitung";"Abwassereinleit.";"ger"
"Abwasserhebeanlage";"Abwasserhebeanl.";"ger"
"Abwasserkunde";"Abwasserkd.";"ger"
"Abwasserleitung";"Abwasserleit.";"ger"
"Abwasserreinigung";"Abwasserreinig.";"ger"
"Abwasserrohr";"n.a.";"ger"
"Abwassertechni-";"Abwassertech.";"ger"
"Abwassertechnolog-";"Abwassertechnol.";"ger"
"Abwasserverwertung";"Abwasserverwert.";"ger"
"Abwasserwesen";"Abwasserwes.";"ger"
"Abwehr";"n.a.";"ger"
"Abwicklung";"Abwickl.";"ger"
"abyss-";"n.a.";"fre"
"acabad-";"acab.";"spa"
"acacia";"n.a.";"eng"
"academ-";"acad.";"spa, fre, eng"
"acadie-";"n.a.";"fre"
"acamedia";"n.a.";"eng"
"acampamento";"acamp.";"spa"
"acaricide";"acaric.";"eng"
"acarolog-";"acarol.";"fre, eng"
"ačaruli";"ačar.";"geo"
"accademi-";"accad.";"roa"
"acção";"n.a.";"por"
"accelerat-";"accel.";"eng, fre"
"accélérer";"accél.";"fre"
"accent-";"accent.";"mul"
"accept-";"accept.";"eng, fre"
"accertam-";"accert.";"ita"
"acceso";"n.a.";"spa"
"accesor-";"n.a.";"spa, rum"
"accesorio";"n.a.";"spa"
"access";"n.a.";"eng"
"accessib-";"access.";"mul"
"accessing";"access.";"eng"
"accession-";"access.";"fre, eng"
"accessoire";"n.a.";"fre"
"accessory";"n.a.";"eng"
"acciaio";"n.a.";"ita"
"accident-";"accid.";"eng, fre"
"acció";"n.a.";"spa"
"acción";"n.a.";"spa"
"accionista";"accion.";"spa"
"acclimam-";"acclim.";"ita"
"acclimat-";"acclim.";"fre, eng"
"accommodat-";"accommod.";"eng"
"accomodation";"accomod.";"eng"
"accompany";"acco.";"eng"
"accompl-";"accompl.";"mul"
"accord-";"accord.";"eng"
"accordéon";"n.a.";"fre"
"accordion";"n.a.";"eng"
"accoucheur";"accouch.";"fre"
"account";"acc.";"eng"
"accountability";"account.";"eng"
"accountancy";"account.";"eng"
"accountant";"account.";"eng"
"accounting";"account.";"eng"
"accréditation";"accrédit.";"fre"
"accredited";"accredit.";"eng"
"accrocher";"accroch.";"fre"
"accroissement";"accroiss.";"fre"
"accueil";"n.a.";"fre"
"accueill-";"accueil.";"fre"
"accultur-";"accult.";"eng"
"accumulation";"accumul.";"mul"
"accumulative";"accumul.";"eng"
"accumulator";"accumul.";"eng"
"accuracy";"n.a.";"eng"
"accus-";"n.a.";"fre"
"aceite";"n.a.";"spa"
"aceitero";"aceit.";"spa"
"acento";"n.a.";"spa"
"acericolo";"aceric.";"ita"
"acero";"n.a.";"spa"
"acervus";"n.a.";"lat"
"aceso";"n.a.";"por"
"acetato";"n.a.";"dut"
"acétylène";"n.a.";"fre"
"achademia";"achad.";"ita"
"achaemenid";"n.a.";"eng"
"achemine-";"achemin.";"fre"
"acheteur";"achet.";"fre"
"achievement-";"achiev.";"eng"
"achiever";"achiev.";"eng"
"achieving";"achiev.";"eng"
"Achimer";"Achim.";"ger"
"achimoowin";"n.a.";"eng"
"Achstetten-";"Achstett.";"ger"
"achter";"n.a.";"dut"
"achtergrond";"n.a.";"dut"
"achtergrondmagazine";"achtergrondmag.";"dut"
"achtergrondreeks";"n.a.";"dut"
"achtergrondstud-";"achtergrondstud.";"dut"
"achterhoek-";"n.a.";"dut"
"achterstand";"n.a.";"dut"
"achterstandsituatie";"achterstandsituat.";"dut"
"achtkarspel-";"achtkarspel.";"dut"
"achttien";"n.a.";"dut"
"achttiende";"n.a.";"dut"
"achtzehnt-";"achtzehn.";"ger"
"acident-";"acid.";"por"
"acidificat-";"acidif.";"eng"
"açikögretim";"açikögr.";"tur"
"Ackerbau";"n.a.";"ger"
"Ackerbaulehre";"n.a.";"ger"
"Ackerbausystem-";"Ackerbausyst.";"ger"
"Ackerschlepper";"Ackerschlepp.";"ger"
"Ackersmann";"n.a.";"ger"
"aclimaç-";"aclim.";"por"
"aclimat-";"aclim.";"fre, roa"
"acollemento";"acoll.";
"acompañado";"acompañ.";"spa"
"acompanhamento";"acompan.";"por"
"acondicion-";"acond.";"spa"
"acontecim-";"acontecim.";"por, spa"
"acórdão";"n.a.";"por"
"acorde";"n.a.";"spa"
"acordeón";"n.a.";"spa"
"Açores";"n.a.";"mul"
"acotación";"acot.";"spa"
"acousti-";"acoust.";"eng, fre"
"acoustoelectroni-";"acoustoelectron.";"fre, eng"
"acquacoltura";"acquacolt.";"ita"
"acquacultur-";"acquacult.";"ita"
"acquario";"acquar.";"ita"
"acquati-";"acquat.";"ita"
"Acquaviva";"n.a.";"ita"
"acque";"n.a.";"ita"
"acquedótto";"acqued.";"ita"
"acquir-";"acquir.";"eng"
"acquisition-";"acquis.";"fre, eng"
"acquisizión-";"acquis.";"ita"
"acquist-";"n.a.";"ita"
"acreage";"n.a.";"eng"
"acridien";"n.a.";"fre"
"acridologie";"acridol.";"fre"
"acrobatic";"acrobat.";"eng"
"acronym";"acron.";"eng"
"acrópolis";"n.a.";"spa"
"across";"n.a.";"eng"
"acta";"n.a.";"lat, roa"
"acteur";"n.a.";"fre"
"actief";"act.";"dut"
"actif";"act.";"fre"
"acting";"act.";"eng"
"actinide";"actin.";"fre"
"Actiniden";"Actin.";"ger"
"actinidia";"n.a.";"mul"
"actinotherap-";"actinother.";"fre, eng"
"action";"n.a.";"eng, fre"
"actionnaire";"action.";"fre"
"actitud";"n.a.";"spa"
"act̡iune";"act̡.";"rum"
"activ-";"act.";"por, dut, spa"
"actor";"n.a.";"eng"
"actress";"n.a.";"eng"
"actuación";"actuac.";"spa"
"actuaire";"n.a.";"fre"
"actual";"n.a.";"eng"
"actuali-";"actual.";"fre, spa, eng"
"actuar-";"actuar.";"eng"
"actuator";"n.a.";"eng"
"actueel";"n.a.";"dut"
"actuel";"n.a.";"fre"
"actuell";"n.a.";"ger"
"actuellement";"actuel.";"fre"
"acuario";"acuar.";"spa"
"acuariófilo";"n.a.";"spa"
"acuarístico";"acuar.";"spa"
"acuátic-";"acuát.";"spa"
"açucareiro";"açucar.";"por"
"acuerdo";"n.a.";"spa"
"acuicultur-";"acuic.";"spa"
"acumulador";"acumul.";"por"
"acumulat-";"acumul.";"spa"
"acupuncteur";"acupunct.";"fre"
"acupuncture";"acupunct.";"fre, eng"
"acupunt-";"acupunt.";"spa"
"acustica";"acust.";"roa"
"acvacultur-";"acvacult.";"rum"
"acvatic-";"acvat.";"rum"
"ad valor-";"ad valor.";"lat"
"adab-";"adab.";"aze"
"Adalberto";"n.a.";"por"
"adalék";"adal.";"hun"
"adamantine";"adamant.";"eng"
"adapt-";"adapt.";"fre, eng"
"adaptogen-";"adaptog.";"eng"
"adatbázis";"adbázis.";"hun"
"adatbáziscsalád";"adbáziscsal.";"hun"
"adatelemzés";"adelemz.";"hun"
"adatfeldolgoz-";"adfeld.";"hun"
"adatforrás";"adforrás.";"hun"
"adatgyűjtemény";"adgyűjt.";"hun"
"adatgyűjtés";"adgy.";"hun"
"adatrögzít-";"adrögz.";"hun"
"adatszolgáltat-";"adszolgt.";"hun"
"adattár";"adtár.";"hun"
"adbook";"adb.";"eng"
"åddasat";"n.a.";"nor"
"addendum";"add.";"lat"
"addestr-";"addestr.";"ita"
"addicti-";"addict.";"eng"
"Addington";"Addingt.";"eng"
"additamentum";"addit.";"roa, lat"
"additif";"addit.";"fre"
"addition-";"addit.";"fre, eng"
"additive-";"addit.";"fre, eng"
"addominale";"addom.";"ita"
"address";"n.a.";"eng"
"Adelaide";"Adel.";"eng"
"adelant-";"n.a.";"spa"
"adelfot-";"adelf.";"gre"
"adelgaza-";"adelg.";"spa"
"Adelsblatt";"Adelsbl.";"ger"
"adelsboek";"adelsb.";"dut"
"aden";"n.a.";"eng"
"adentro";"n.a.";"spa"
"adepte";"n.a.";"fre"
"adequacy";"n.a.";"eng"
"adequate";"n.a.";"eng"
"âdern-";"âd.";"rus"
"âdernofizi-";"âdernofiz.";"rus"
"âdernotehni-";"âdernoteh.";"rus"
"adesivo";"n.a.";"ita"
"adesmeut-";"adesm.";"gre"
"adevǎr-";"adev.";"rum"
"adfærd";"n.a.";"dan"
"adgezi-";"adgez.";"rus"
"adhaesion";"adhaes.";"ger"
"adhérent";"adhér.";"fre"
"adhesi-";"adhes.";"roa, fre"
"adici-";"adic.";"spa"
"adicti-";"adict.";"spa"
"Adierazle";"n.a.";"baq"
"adiestra-";"adiestr.";"spa"
"adipose";"n.a.";"eng"
"Adipositas";"n.a.";"ger"
"adipositasforschung-";"adipositasforsch.";"ger"
"Adirondack";"Adirond.";"eng"
"adjacent";"adjac.";"mul"
"adjoin-";"adjoin.";"eng"
"adjudication";"adjudic.";"fre"
"adjunct";"adjun.";"eng"
"adjunto";"adjun.";"spa"
"adjust-";"adjust.";"fre, eng"
"adjuster";"adjust.";"eng"
"adjutant";"adjut.";"eng"
"adjuvan-";"adjuv.";"eng"
"adlerian";"n.a.";"eng"
"adletter-";"adlett.";"eng"
"administer-";"adm.";"eng"
"administr-";"adm.";"mul"
"admirable";"n.a.";"fre, eng"
"admiralty";"admir.";"eng"
"admisión";"admis.";"spa"
"admission";"admiss.";"fre, eng"
"admit-";"admit.";"mul"
"admixture";"admix.";"eng"
"adnot-";"adnot.";"pol"
"adóhatóság";"adóhat.";"hun"
"adójogszabály";"adójogszab.";"hun"
"adókönyv";"adókv.";"hun"
"adolescen-";"adolesc.";"fre, eng, spa"
"adonis";"n.a.";"mul"
"adopción";"adopc.";"spa"
"adopt-";"adopt.";"mul"
"adoración";"adorac.";"spa"
"adoramus";"ador.";"lat"
"adorateur";"adorat.";"fre"
"adoulōtos";"n.a.";"gre"
"adquirid-";"adquir.";"spa"
"adquis-";"adquis.";"spa"
"adrbejan-";"adrb.";"arm"
"adrenerg-";"adren.";"eng"
"adres";"n.a.";"pol"
"adres-";"adres.";"pol"
"adresboek";"adresb.";"dut"
"adreslijst";"adresl.";"dut"
"adress-";"adress.";"mul"
"Adressbuch";"Adressb.";"ger"
"Adresse";"n.a.";"ger"
"Adressenwerk";"Adressenw.";"ger"
"adressförteckning";"adressförteckn.";"swe"
"Adresskalender";"Adresskal.";"ger"
"adriatic-";"adriat.";"mul"
"adroddiad";"adrodd.";"wel"
"adsorpti-";"adsorpt.";"eng"
"aduan-";"aduan.";"spa"
"adulte";"n.a.";"fre"
"adulto";"n.a.";"spa"
"adunanz-";"adun.";"ita"
"adunare";"adun.";"rum"
"adunat-";"adunat.";"gre"
"advanc-";"adv.";"eng"
"advantage";"advant.";"eng"
"Advent";"n.a.";"eng"
"adventist";"advent.";"eng"
"adventure";"n.a.";"eng"
"adventurer";"n.a.";"eng"
"advers-";"advers.";"fre"
"adverteerder-";"adverteerd.";"dut"
"advertentie";"advert.";"dut"
"adverterend-";"n.a.";"dut"
"advertis-";"advert.";"eng"
"advice";"n.a.";"eng"
"advies";"n.a.";"dut"
